ID,Gene,gene-onnection,Status,Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location,Grouping
1892,ARHGAP24,ARHGAP24,N/a,rs346508-<b>?</b>,6 x 10-12,,NR,'-,'-,'-,ARHGAP24,Height,body height,GCST007841,4:85942013,Anthropometric
746,CHL1,CHL1,N/a,rs6769747-<b>?</b>,1 x 10-7,(CHL1),NR,'-,0.16 unit increase,[0.1-0.22],CHL1,Protein levels in obesity,"protein measurement, obesity",GCST010196,3:203266,Anthropometric
1825,CHL1,CHL1,N/a,rs9841287-<b>A</b>,7 x 10-9,,0.8272,'-,0.003253 unit decrease,[0.0022-0.0043],"CHL1-AS2, LINC01986",Fasting blood insulin (BMI interaction),"body mass index, fasting blood insulin measurement",GCST001526,3:67310,Anthropometric
1826,CHL1,CHL1-AS2,N/a,rs9841287-<b>A</b>,7 x 10-9,,0.8272,'-,0.003253 unit decrease,[0.0022-0.0043],"CHL1-AS2, LINC01986",Fasting blood insulin (BMI interaction),"body mass index, fasting blood insulin measurement",GCST001526,3:67310,Anthropometric
2087,COQ10B,COQ10B,N/a,rs61327788-<b>G</b>,1 x 10-8,,0.500638,'-,0.0395407 unit increase,[0.026-0.053],COQ10B,Appendicular lean mass,appendicular lean mass,GCST009577,2:197473498,Anthropometric
7,DNM3,DNM3,N/a,rs17277127-<b>?</b>,8 x 10-9,,NR,'-,'-,'-,DNM3,Waist-hip ratio,waist-hip ratio,GCST007067,1:172167994,Anthropometric
8,DNM3,DNM3,N/a,rs12138803-<b>T</b>,7 x 10-25,,0.2001,'-,0.0198 unit increase,[0.016-0.024],"DNM3, PIGC",Waist-hip ratio,waist-hip ratio,GCST008996,1:172379683,Anthropometric
9,DNM3,DNM3,N/a,rs714515-<b>G</b>,5 x 10-8,,0.44,'-,'-,'-,"PIGC, DNM3",Waist-hip ratio,waist-hip ratio,GCST008734,1:172383850,Anthropometric
10,DNM3,DNM3,N/a,rs12138803-<b>T</b>,7 x 10-25,,0.2001,'-,0.0198 unit increase,[0.016-0.024],"DNM3, PIGC",Waist-hip ratio,waist-hip ratio,GCST008997,1:172379683,Anthropometric
11,DNM3,DNM3,N/a,rs10752944-<b>?</b>,6 x 10-46,,NR,'-,'-,'-,"PIGC, DNM3",Waist-hip ratio,waist-hip ratio,GCST007067,1:172394384,Anthropometric
12,DNM3,DNM3,N/a,rs1011731-<b>A</b>,7 x 10-8,"(EA, women)",0.5729,'-,0.0235 unit decrease,[0.015-0.032],"DNM3, PIGC",Waist-hip ratio,waist-hip ratio,GCST004064,1:172377408,Anthropometric
13,DNM3,DNM3,N/a,rs1011731-<b>A</b>,1 x 10-8,(EA),0.5729,'-,0.0191 unit decrease,[0.013-0.026],"DNM3, PIGC",Waist-hip ratio,waist-hip ratio,GCST004064,1:172377408,Anthropometric
14,DNM3,DNM3,N/a,rs1011731-<b>G</b>,1 x 10-17,,0.43,'-,0.03 unit increase,[NR],"DNM3, PIGC",Waist-hip ratio,waist-hip ratio,GCST000829,1:172377408,Anthropometric
458,DNM3,DNM3,N/a,rs714515-<b>A</b>,1 x 10-11,(women),0.5576,'-,0.0314 unit decrease,[0.022-0.04],"PIGC, DNM3",Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),"smoking behavior, BMI-adjusted waist-hip ratio",GCST004505,1:172383850,Anthropometric
459,DNM3,DNM3,N/a,rs714515-<b>A</b>,9 x 10-15,,0.5576,'-,0.0273 unit decrease,[0.02-0.034],"PIGC, DNM3",Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),"smoking behavior, BMI-adjusted waist-hip ratio",GCST004505,1:172383850,Anthropometric
460,DNM3,DNM3,N/a,rs714515-<b>A</b>,9 x 10-6,,0.5576,'-,'-,'-,"PIGC, DNM3",Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),"smoking behavior, BMI-adjusted waist-hip ratio",GCST004507,1:172383850,Anthropometric
461,DNM3,DNM3,N/a,rs714515-<b>A</b>,7 x 10-6,(women),0.5576,'-,'-,'-,"PIGC, DNM3",Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),"smoking behavior, BMI-adjusted waist-hip ratio",GCST004507,1:172383850,Anthropometric
1455,DNM3,DNM3,N/a,rs12041600-<b>G</b>,1 x 10-6,(men),0.520395,'-,0.0239793 unit increase,[0.014-0.034],DNM3,Heel bone mineral density,heel bone mineral density,GCST006288,1:172261089,Anthropometric
1456,DNM3,DNM3,N/a,rs672740-<b>T</b>,8 x 10-14,,0.519265,'-,0.0151798 unit decrease,[0.011-0.019],DNM3,Heel bone mineral density,heel bone mineral density,GCST006979,1:172167979,Anthropometric
1457,DNM3,DNM3,N/a,rs56682471-<b>A</b>,3 x 10-16,,0.783675,'-,0.0201441 unit decrease,[0.015-0.025],DNM3,Heel bone mineral density,heel bone mineral density,GCST006979,1:172267127,Anthropometric
1458,DNM3,DNM3,N/a,rs12041600-<b>?</b>,2 x 10-43,,NR,'-,0.0275149 unit increase,[0.023-0.032],DNM3,Heel bone mineral density,heel bone mineral density,GCST006433,1:172261089,Anthropometric
1459,DNM3,DNM3,N/a,rs10458358-<b>?</b>,6 x 10-37,,NR,'-,0.030854 unit decrease,[0.026-0.036],DNM3,Heel bone mineral density,heel bone mineral density,GCST006433,1:172244264,Anthropometric
1460,DNM3,DNM3,N/a,rs2586392-<b>?</b>,4 x 10-32,,NR,'-,0.027327 unit decrease,[0.023-0.032],DNM3,Heel bone mineral density,heel bone mineral density,GCST006433,1:172285053,Anthropometric
1461,DNM3,DNM3,N/a,rs145764789-<b>?</b>,6 x 10-35,,NR,'-,0.0301717 unit decrease,[0.025-0.035],DNM3,Heel bone mineral density,heel bone mineral density,GCST006433,1:172311313,Anthropometric
1462,DNM3,DNM3,N/a,rs17277932-<b>?</b>,5 x 10-15,,NR,'-,0.0229655 unit increase,[0.017-0.029],DNM3,Heel bone mineral density,heel bone mineral density,GCST006433,1:172353994,Anthropometric
1463,DNM3,DNM3,N/a,rs12041600-<b>G</b>,5 x 10-11,(women),0.52086,'-,0.02917 unit increase,[0.02-0.038],DNM3,Heel bone mineral density,heel bone mineral density,GCST006288,1:172261089,Anthropometric
1464,DNM3,DNM3,N/a,rs12041600-<b>G</b>,1 x 10-15,,0.520643,'-,0.0254858 unit increase,[0.019-0.032],DNM3,Heel bone mineral density,heel bone mineral density,GCST006288,1:172261089,Anthropometric
1465,DNM3,DNM3,N/a,rs12737669-<b>?</b>,2 x 10-43,,NR,'-,'-,'-,DNM3,Heel bone mineral density,heel bone mineral density,GCST007066,1:172263037,Anthropometric
1537,DNM3,DNM3,N/a,rs479336-<b>T</b>,9 x 10-15,,0.74,'-,0.04 unit decrease,[NR],DNM3,Femoral neck bone mineral density,femoral neck bone mineral density,GCST007691,1:172230433,Anthropometric
1822,DNM3,DNM3,N/a,rs633995-<b>A</b>,2 x 10-9,,0.4251,'-,0.0351 unit increase,'-,DNM3,Total body bone mineral density,bone density,GCST005348,1:172217589,Anthropometric
1823,DNM3,DNM3,N/a,rs6694387-<b>T</b>,2 x 10-8,,0.4476,'-,0.0329 unit decrease,'-,DNM3,Total body bone mineral density,bone density,GCST005348,1:172323065,Anthropometric
1898,DNM3,DNM3,N/a,rs609702-<b>?</b>,1 x 10-17,,NR,'-,0.025947371 unit increase,[0.02-0.032],DNM3,Height,body height,GCST008839,1:172231515,Anthropometric
1899,DNM3,DNM3,N/a,rs12075079-<b>?</b>,3 x 10-7,,NR,'-,0.04112592 unit increase,[0.025-0.057],DNM3,Height,body height,GCST008053,1:172250855,Anthropometric
1900,DNM3,DNM3,N/a,rs12410416-<b>?</b>,7 x 10-8,,NR,'-,0.04195971 unit increase,[0.027-0.057],DNM3,Height,body height,GCST008053,1:172224680,Anthropometric
1901,DNM3,DNM3,N/a,rs186897198-<b>?</b>,7 x 10-12,,NR,'-,'-,'-,DNM3,Height,body height,GCST007841,1:172089746,Anthropometric
1902,DNM3,DNM3,N/a,rs2289635-<b>?</b>,4 x 10-124,,NR,'-,'-,'-,DNM3,Height,body height,GCST007841,1:172239480,Anthropometric
1903,DNM3,DNM3,N/a,rs17369123-<b>?</b>,8 x 10-36,,NR,'-,'-,'-,"PIGC, DNM3",Height,body height,GCST007841,1:172386701,Anthropometric
1904,DNM3,DNM3,N/a,rs12409899-<b>C</b>,1 x 10-7,,0.7842,'-,0.0444 unit decrease,[0.028-0.061],DNM3,Height,body height,GCST008163,1:172257871,Anthropometric
1905,DNM3,DNM3,N/a,rs2421992-<b>?</b>,5 x 10-8,(Conditioned on rs17346452),NR,'-,'-,[NR],DNM3,Height,body height,GCST000817,1:172272111,Anthropometric
1906,DNM3,DNM3,N/a,rs6694089-<b>A</b>,4 x 10-33,,0.279,'-,0.039 unit increase,[0.033-0.045],DNM3,Height,body height,GCST002647,1:172114741,Anthropometric
1907,DNM3,DNM3,N/a,rs17346452-<b>T</b>,1 x 10-23,,0.73,'-,0.04 unit decrease,[NR],DNM3,Height,body height,GCST000817,1:172084147,Anthropometric
1908,DNM3,DNM3,N/a,rs12410416-<b>T</b>,2 x 10-10,,0.69,'-,0.028 unit decrease,[0.016-0.04],DNM3,Height,body height,GCST002702,1:172224680,Anthropometric
1909,DNM3,DNM3,N/a,rs678962-<b>G</b>,3 x 10-8,,0.22,'-,5.4 % s.d. increase,[3.44-7.36],DNM3,Height,body height,GCST000175,1:172220749,Anthropometric
1910,DNM3,DNM3,N/a,rs12075079-<b>G</b>,7 x 10-12,,0.21,1.2,'-,[NR],DNM3,Height,body height,GCST001956,1:172250855,Anthropometric
1911,DNM3,DNM3,N/a,rs34952786-<b>T</b>,2 x 10-7,,0.3411,'-,0.0383 unit increase,[0.024-0.053],"DNM3, DNM3OS",Height,body height,GCST008163,1:172144188,Anthropometric
1912,DNM3,DNM3OS,N/a,rs34952786-<b>T</b>,2 x 10-7,,0.3411,'-,0.0383 unit increase,[0.024-0.053],"DNM3, DNM3OS",Height,body height,GCST008163,1:172144188,Anthropometric
1922,DNM3,DNM3,N/a,rs714515-<b>A</b>,6 x 10-14,,0.573760827,'-,'-,'-,"PIGC, DNM3",Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test),"BMI-adjusted waist-hip ratio, sex interaction measurement, age at assessment",GCST005962,1:172383850,Anthropometric
1923,DNM3,DNM3,N/a,rs1894633-<b>G</b>,6 x 10-14,(women),0.3392,'-,0.0387 unit increase,[0.029-0.049],DNM3,Waist-to-hip ratio adjusted for body mass index,"BMI-adjusted waist-hip ratio, physical activity measurement",GCST004576,1:172361919,Anthropometric
1924,DNM3,DNM3,N/a,rs1894633-<b>G</b>,4 x 10-12,(women),0.3382,'-,0.0427 unit increase,[0.031-0.055],DNM3,Waist-to-hip ratio adjusted for BMI in active individuals,"BMI-adjusted waist-hip ratio, physical activity measurement",GCST004578,1:172361919,Anthropometric
1925,DNM3,DNM3,N/a,rs2001129-<b>T</b>,3 x 10-14,"(EA, women)",0.4363,'-,0.0387 unit increase,[0.029-0.049],DNM3,Waist-to-hip ratio adjusted for body mass index,"BMI-adjusted waist-hip ratio, physical activity measurement",GCST004576,1:172364108,Anthropometric
1926,DNM3,DNM3,N/a,rs2001129-<b>?</b>,6 x 10-16,(EA),0.4363,'-,'-,'-,DNM3,Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction),"BMI-adjusted waist-hip ratio, physical activity measurement",GCST004567,1:172364108,Anthropometric
1927,DNM3,DNM3,N/a,rs2001129-<b>?</b>,3 x 10-13,"(EA, women)",0.4363,'-,'-,'-,DNM3,Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction),"BMI-adjusted waist-hip ratio, physical activity measurement",GCST004567,1:172364108,Anthropometric
1928,DNM3,DNM3,N/a,rs2001129-<b>T</b>,5 x 10-16,(EA),0.4363,'-,0.032 unit increase,[0.024-0.04],DNM3,Waist-to-hip ratio adjusted for body mass index,"BMI-adjusted waist-hip ratio, physical activity measurement",GCST004576,1:172364108,Anthropometric
1929,DNM3,DNM3,N/a,rs1894633-<b>G</b>,4 x 10-12,(women),0.3382,'-,0.0427 unit increase,[0.031-0.055],DNM3,Waist-to-hip ratio adjusted for BMI in active individuals,"BMI-adjusted waist-hip ratio, physical activity measurement",GCST004578,1:172361919,Anthropometric
1930,DNM3,DNM3,N/a,rs1894633-<b>G</b>,5 x 10-13,,0.3392,'-,0.0346 unit increase,[0.025-0.044],DNM3,Waist-to-hip ratio adjusted for BMI in active individuals,"BMI-adjusted waist-hip ratio, physical activity measurement",GCST004578,1:172361919,Anthropometric
1931,DNM3,DNM3,N/a,rs2001129-<b>T</b>,3 x 10-12,"(EA, women)",0.436,'-,0.0402 unit increase,[0.029-0.052],DNM3,Waist-to-hip ratio adjusted for BMI in active individuals,"BMI-adjusted waist-hip ratio, physical activity measurement",GCST004578,1:172364108,Anthropometric
1932,DNM3,DNM3,N/a,rs2001129-<b>T</b>,8 x 10-14,(EA),0.4363,'-,0.0339 unit increase,[0.025-0.043],DNM3,Waist-to-hip ratio adjusted for BMI in active individuals,"BMI-adjusted waist-hip ratio, physical activity measurement",GCST004578,1:172364108,Anthropometric
1933,DNM3,DNM3,N/a,rs1894633-<b>?</b>,5 x 10-13,(women),0.3392,'-,'-,'-,DNM3,Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction),"BMI-adjusted waist-hip ratio, physical activity measurement",GCST004567,1:172361919,Anthropometric
1934,DNM3,DNM3,N/a,rs1894633-<b>?</b>,1 x 10-14,,0.3392,'-,'-,'-,DNM3,Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction),"BMI-adjusted waist-hip ratio, physical activity measurement",GCST004567,1:172361919,Anthropometric
1935,DNM3,DNM3,N/a,rs1894633-<b>G</b>,5 x 10-16,,0.3392,'-,0.032 unit increase,[0.024-0.04],DNM3,Waist-to-hip ratio adjusted for body mass index,"BMI-adjusted waist-hip ratio, physical activity measurement",GCST004576,1:172361919,Anthropometric
1937,DNM3,DNM3,N/a,rs633995-<b>?</b>,2 x 10-10,,NR,'-,'-,'-,DNM3,Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST009858,1:172217589,Anthropometric
1938,DNM3,DNM3,N/a,rs714515-<b>A</b>,3 x 10-16,,0.573760827,'-,0.02717696 units decrease,'-,"PIGC, DNM3",Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST005956,1:172383850,Anthropometric
1939,DNM3,DNM3,N/a,rs12138803-<b>T</b>,1 x 10-38,,0.2018,'-,0.0254 unit increase,[0.022-0.029],"DNM3, PIGC",Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST008994,1:172379683,Anthropometric
1940,DNM3,DNM3,N/a,rs12138803-<b>?</b>,2 x 10-32,,NR,'-,'-,'-,"DNM3, PIGC",Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST009858,1:172379683,Anthropometric
1941,DNM3,DNM3,N/a,rs76166162-<b>?</b>,3 x 10-14,,NR,'-,'-,'-,"PIGC, DNM3",Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST009858,1:172411786,Anthropometric
1942,DNM3,DNM3,N/a,rs714515-<b>G</b>,1 x 10-56,,0.44,'-,0.028 unit increase,[0.024-0.032],"PIGC, DNM3",Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST008733,1:172383850,Anthropometric
1943,DNM3,DNM3,N/a,rs714515-<b>G</b>,2 x 10-10,"(EA, women)",0.4271,'-,0.0289 unit increase,[0.02-0.038],"PIGC, DNM3",Waist-to-hip ratio adjusted for body mass index,BMI-adjusted waist-hip ratio,GCST002782,1:172383850,Anthropometric
1944,DNM3,DNM3,N/a,rs714515-<b>G</b>,4 x 10-15,(EA),0.4285,'-,0.027 unit increase,[0.02-0.034],"PIGC, DNM3",Waist-to-hip ratio adjusted for body mass index,BMI-adjusted waist-hip ratio,GCST002782,1:172383850,Anthropometric
1945,DNM3,DNM3,N/a,rs714515-<b>G</b>,9 x 10-7,"(EA, men)",0.43,'-,0.0247 unit increase,[0.015-0.035],"PIGC, DNM3",Waist-to-hip ratio adjusted for body mass index,BMI-adjusted waist-hip ratio,GCST002782,1:172383850,Anthropometric
1946,DNM3,DNM3,N/a,rs714515-<b>G</b>,3 x 10-7,(men),0.4334,'-,0.025 unit increase,[0.015-0.035],"PIGC, DNM3",Waist-to-hip ratio adjusted for body mass index,BMI-adjusted waist-hip ratio,GCST002782,1:172383850,Anthropometric
1947,DNM3,DNM3,N/a,rs714515-<b>G</b>,9 x 10-11,(women),0.4352,'-,0.029 unit increase,[0.02-0.038],"PIGC, DNM3",Waist-to-hip ratio adjusted for body mass index,BMI-adjusted waist-hip ratio,GCST002782,1:172383850,Anthropometric
1948,DNM3,DNM3,N/a,rs714515-<b>G</b>,1 x 10-15,,0.4369,'-,0.0272 unit increase,[0.021-0.034],"PIGC, DNM3",Waist-to-hip ratio adjusted for body mass index,BMI-adjusted waist-hip ratio,GCST002782,1:172383850,Anthropometric
1950,DNM3,DNM3,N/a,rs1894633-<b>G</b>,2 x 10-10,"(EA, women)",0.3388,'-,0.0332 cm increase,[0.023-0.043],DNM3,Waist circumference adjusted for body mass index,"BMI-adjusted waist circumference, physical activity measurement",GCST004562,1:172361919,Anthropometric
1951,DNM3,DNM3,N/a,rs1894633-<b>?</b>,3 x 10-11,,0.3521,'-,'-,'-,DNM3,Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction),"BMI-adjusted waist circumference, physical activity measurement",GCST004563,1:172361919,Anthropometric
1952,DNM3,DNM3,N/a,rs1894633-<b>G</b>,6 x 10-11,(EA),0.3388,'-,0.0261 cm increase,[0.018-0.034],DNM3,Waist circumference adjusted for body mass index,"BMI-adjusted waist circumference, physical activity measurement",GCST004562,1:172361919,Anthropometric
1953,DNM3,DNM3,N/a,rs1894633-<b>?</b>,2 x 10-10,(EA),0.3388,'-,'-,'-,DNM3,Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction),"BMI-adjusted waist circumference, physical activity measurement",GCST004563,1:172361919,Anthropometric
1954,DNM3,DNM3,N/a,rs1894633-<b>G</b>,2 x 10-8,"(EA,women)",0.3378,'-,0.0327 cm increase,[0.021-0.044],DNM3,Waist circumference adjusted for BMI in active individuals,"BMI-adjusted waist circumference, physical activity measurement",GCST004564,1:172361919,Anthropometric
1955,DNM3,DNM3,N/a,rs1894633-<b>G</b>,2 x 10-9,(EA),0.3388,'-,0.0274 cm increase,[0.018-0.036],DNM3,Waist circumference adjusted for BMI in active individuals,"BMI-adjusted waist circumference, physical activity measurement",GCST004564,1:172361919,Anthropometric
1956,DNM3,DNM3,N/a,rs1894633-<b>G</b>,5 x 10-10,,0.3521,'-,0.0271 cm increase,[0.018-0.036],DNM3,Waist circumference adjusted for BMI in active individuals,"BMI-adjusted waist circumference, physical activity measurement",GCST004564,1:172361919,Anthropometric
1957,DNM3,DNM3,N/a,rs1894633-<b>G</b>,1 x 10-11,,0.3521,'-,0.0255 cm increase,[0.018-0.033],DNM3,Waist circumference adjusted for body mass index,"BMI-adjusted waist circumference, physical activity measurement",GCST004562,1:172361919,Anthropometric
1958,DNM3,DNM3,N/a,rs1894633-<b>?</b>,6 x 10-10,"(EA, women)",0.3388,'-,'-,'-,DNM3,Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction),"BMI-adjusted waist circumference, physical activity measurement",GCST004563,1:172361919,Anthropometric
1962,DNM3,DNM3,N/a,rs9425573-<b>?</b>,2 x 10-18,,NR,'-,'-,'-,DNM3,Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST009867,1:172361297,Anthropometric
1963,DNM3,DNM3,N/a,rs12063247-<b>?</b>,1 x 10-17,,NR,'-,'-,'-,DNM3,Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST009867,1:172229080,Anthropometric
1964,DNM3,DNM3,N/a,rs2422073-<b>?</b>,3 x 10-8,,NR,'-,'-,'-,DNM3,Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST009867,1:172261640,Anthropometric
1965,DNM3,DNM3,N/a,rs16844417-<b>?</b>,5 x 10-10,,NR,'-,'-,'-,"DNM3, PIGC",Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST009867,1:172408605,Anthropometric
1970,DNM3,DNM3,N/a,rs17346473-<b>A</b>,2 x 10-10,"(EA, women)",0.7233,'-,0.0322 unit decrease,[0.022-0.042],DNM3,Hip circumference adjusted for BMI,BMI-adjusted hip circumference,GCST004067,1:172113953,Anthropometric
1971,DNM3,DNM3,N/a,rs17346473-<b>A</b>,4 x 10-6,"(EA,men)",0.7233,'-,0.0264 unit decrease,[0.015-0.038],DNM3,Hip circumference adjusted for BMI,BMI-adjusted hip circumference,GCST004067,1:172113953,Anthropometric
1972,DNM3,DNM3,N/a,rs17346473-<b>A</b>,3 x 10-14,(EA),0.7233,'-,0.03 unit decrease,[0.022-0.038],DNM3,Hip circumference adjusted for BMI,BMI-adjusted hip circumference,GCST004067,1:172113953,Anthropometric
