Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location
rs140302846-<b>?</b>,7 x 10-13,,NR,'-,'-,'-,"HLA-DRA, HLA-DRB9",Asthma (adult onset),adult onset asthma,GCST009842,6:32455739
rs9268813-<b>?</b>,1 x 10-17,,NR,'-,'-,'-,"HLA-DRA, HLA-DRB9",Asthma (adult onset),adult onset asthma,GCST009842,6:32456817
rs17454584-<b>G</b>,2 x 10-10,,0.212,1.054,'-,[1.04-1.07],"IL2, ADAD1",Asthma (adult onset),adult onset asthma,GCST007799,4:122432277
rs57585717-<b>A</b>,2 x 10-6,,0.118,1.051,'-,[1.03-1.07],JAZF1,Asthma (adult onset),adult onset asthma,GCST007799,7:28109636
rs11255504-<b>T</b>,8 x 10-10,,0.166,1.057,'-,[1.04-1.07],GATA3,Asthma (adult onset),adult onset asthma,GCST007799,10:8062378
rs7099257-<b>T</b>,6 x 10-7,,0.409,1.037,'-,[1.02-1.05],KRT8P37,Asthma (adult onset),adult onset asthma,GCST007799,10:8468994
rs28415845-<b>C</b>,3 x 10-12,,0.701,1.055,'-,[1.04-1.07],"MUC2, MUC5AC",Asthma (adult onset),adult onset asthma,GCST007799,11:1151933
rs174535-<b>T</b>,3 x 10-11,,0.648,1.05,'-,[1.04-1.06],"TMEM258, MYRF",Asthma (adult onset),adult onset asthma,GCST007799,11:61783884
rs1784775-<b>C</b>,6 x 10-9,,0.708,1.044,'-,[1.03-1.06],"SIK2, LAYN",Asthma (adult onset),adult onset asthma,GCST007799,11:111601736
rs17668708-<b>?</b>,3 x 10-13,,NR,1.087,'-,[1.07-1.11],PTPRC,Asthma (adult onset),adult onset asthma,GCST007799,1:198671359
rs2381712-<b>?</b>,3 x 10-16,,NR,1.056,'-,[1.04-1.07],RPL6P5,Asthma (adult onset),adult onset asthma,GCST007799,2:145387450
rs12722502-<b>?</b>,4 x 10-12,,NR,1.222,'-,[1.17-1.28],IL2RA,Asthma (adult onset),adult onset asthma,GCST007799,10:6051176
rs28635831-<b>?</b>,4 x 10-9,,NR,1.044,'-,[1.03-1.06],COG6,Asthma (adult onset),adult onset asthma,GCST007799,13:39745817
rs4771332-<b>?</b>,6 x 10-12,,NR,1.053,'-,[1.04-1.07],"CCR12P, TM9SF2",Asthma (adult onset),adult onset asthma,GCST007799,13:99418203
rs3024655-<b>?</b>,1 x 10-11,,NR,1.105,'-,[1.08-1.13],IL4R,Asthma (adult onset),adult onset asthma,GCST007799,16:27358181
rs2056625-<b>?</b>,8 x 10-11,,NR,1.048,'-,[1.03-1.06],CD247,Asthma (adult onset),adult onset asthma,GCST007799,1:167451062
rs60227565-<b>?</b>,1 x 10-32,,NR,1.125,'-,[1.11-1.14],"FAM183DP, IL1RL1",Asthma (adult onset),adult onset asthma,GCST007799,2:102275879
rs12470864-<b>?</b>,1 x 10-31,,NR,1.089,'-,[1.08-1.1],"IL1RL1, FAM183DP",Asthma (adult onset),adult onset asthma,GCST007799,2:102309902
rs34290285-<b>?</b>,2 x 10-28,,NR,1.097,'-,[1.08-1.11],D2HGDH,Asthma (adult onset),adult onset asthma,GCST007799,2:241759225
rs4491851-<b>?</b>,4 x 10-13,,NR,1.05,'-,[1.04-1.06],GLB1,Asthma (adult onset),adult onset asthma,GCST007799,3:33042493
rs62322662-<b>?</b>,8 x 10-10,,NR,1.084,'-,[1.06-1.11],"IL2, ADAD1",Asthma (adult onset),adult onset asthma,GCST007799,4:122438414
rs11742240-<b>?</b>,9 x 10-14,,NR,1.058,'-,[1.04-1.07],"IL7R, CAPSL",Asthma (adult onset),adult onset asthma,GCST007799,5:35881274
rs540485182-<b>?</b>,4 x 10-15,,NR,1.078,'-,[1.06-1.1],SLC25A46,Asthma (adult onset),adult onset asthma,GCST007799,5:110825775
rs1837253-<b>?</b>,1 x 10-18,,NR,1.074,'-,[1.06-1.09],TSLP,Asthma (adult onset),adult onset asthma,GCST007799,5:111066174
rs1898671-<b>?</b>,1 x 10-22,,NR,1.074,'-,[1.06-1.09],TSLP,Asthma (adult onset),adult onset asthma,GCST007799,5:111072304
rs6866614-<b>?</b>,4 x 10-23,,NR,1.075,'-,[1.06-1.09],"IRF1, IRF1-AS1",Asthma (adult onset),adult onset asthma,GCST007799,5:132451445
rs10699671-<b>?</b>,2 x 10-12,,NR,1.052,'-,[1.04-1.07],NDFIP1,Asthma (adult onset),adult onset asthma,GCST007799,5:142139376
rs58521088-<b>?</b>,3 x 10-14,,NR,1.058,'-,[1.04-1.07],BACH2,Asthma (adult onset),adult onset asthma,GCST007799,6:90275479
rs35204956-<b>?</b>,4 x 10-16,,NR,1.061,'-,[1.05-1.07],RNU6-1213P,Asthma (adult onset),adult onset asthma,GCST007799,8:80389778
rs62557312-<b>?</b>,8 x 10-20,,NR,1.085,'-,[1.07-1.1],RANBP6,Asthma (adult onset),adult onset asthma,GCST007799,9:6047765
rs992969-<b>?</b>,2 x 10-29,,NR,1.095,'-,[1.08-1.11],"IL33, GTF3AP1",Asthma (adult onset),adult onset asthma,GCST007799,9:6209697
rs10795672-<b>?</b>,1 x 10-12,,NR,1.054,'-,[1.04-1.07],RNA5SP299,Asthma (adult onset),adult onset asthma,GCST007799,10:8735677
rs1775554-<b>?</b>,3 x 10-47,,NR,1.102,'-,[1.09-1.12],LINC02676,Asthma (adult onset),adult onset asthma,GCST007799,10:9012377
rs7936312-<b>?</b>,3 x 10-31,,NR,1.081,'-,[1.07-1.09],"LINC02757, EMSY",Asthma (adult onset),adult onset asthma,GCST007799,11:76582682
rs2544026-<b>?</b>,2 x 10-13,,NR,1.062,'-,[1.05-1.08],HDAC7,Asthma (adult onset),adult onset asthma,GCST007799,12:47792780
rs7302200-<b>?</b>,4 x 10-15,,NR,1.059,'-,[1.05-1.07],"ERBB3, RPS26",Asthma (adult onset),adult onset asthma,GCST007799,12:56055651
rs1059513-<b>?</b>,5 x 10-20,,NR,1.105,'-,[1.08-1.13],STAT6,Asthma (adult onset),adult onset asthma,GCST007799,12:57095926
rs7183955-<b>?</b>,8 x 10-12,,NR,1.063,'-,[1.05-1.08],RORA,Asthma (adult onset),adult onset asthma,GCST007799,15:60757370
rs72743461-<b>?</b>,1 x 10-24,,NR,1.087,'-,[1.07-1.1],SMAD3,Asthma (adult onset),adult onset asthma,GCST007799,15:67149412
rs35441874-<b>?</b>,1 x 10-19,,NR,1.076,'-,[1.06-1.09],CLEC16A,Asthma (adult onset),adult onset asthma,GCST007799,16:11119164
rs10667251-<b>?</b>,5 x 10-9,,NR,1.043,'-,[1.03-1.06],"PHB, ZNF652",Asthma (adult onset),adult onset asthma,GCST007799,17:49388382
rs117710327-<b>?</b>,3 x 10-18,,NR,1.134,'-,[1.11-1.16],"CEBPA, SLC7A10",Asthma (adult onset),adult onset asthma,GCST007799,19:33235672
rs11088309-<b>?</b>,5 x 10-12,,NR,1.07,'-,[1.05-1.09],RUNX1,Asthma (adult onset),adult onset asthma,GCST007799,21:35092334
rs301816-<b>A</b>,5 x 10-6,,0.583,1.034,'-,[1.02-1.05],RERE,Asthma (adult onset),adult onset asthma,GCST007799,1:8444998
rs6441084-<b>A</b>,4 x 10-6,,0.28,1.038,'-,[1.02-1.05],"TIPARP-AS1, SSR3",Asthma (adult onset),adult onset asthma,GCST007799,3:156592987
rs62296577-<b>C</b>,6 x 10-6,,0.668,1.034,'-,[1.02-1.05],TBL1XR1,Asthma (adult onset),adult onset asthma,GCST007799,3:177131952
rs11715524-<b>A</b>,3 x 10-10,,0.508,1.043,'-,[1.03-1.06],TFRC,Asthma (adult onset),adult onset asthma,GCST007799,3:196035621
rs190438685-<b>T</b>,1 x 10-6,,0.014,1.158,'-,[1.1-1.22],"RFC1, RNU6-887P",Asthma (adult onset),adult onset asthma,GCST007799,4:39388825
rs9272346-<b>A</b>,2 x 10-47,,0.59,1.13,'-,'-,HLA-DQA1,Asthma (adult onset),adult onset asthma,GCST007993,6:32636595
rs28407950-<b>C</b>,8 x 10-31,,0.756,1.148,'-,[1.121-1.175],"HLA-DQA1, HLA-DQB1",Asthma (adult onset),adult onset asthma,GCST007993,6:32658571
rs2428494-<b>A</b>,5 x 10-23,,0.477,1.104,'-,[1.082-1.126],HLA-B,Asthma (adult onset),adult onset asthma,GCST007993,6:31354420
rs1117490-<b>C</b>,7 x 10-7,,0.234,1.059,'-,[1.036-1.084],TRIM26,Asthma (adult onset),adult onset asthma,GCST007993,6:30202733
rs140545087-<b>?</b>,5 x 10-9,,NR,'-,'-,'-,"HLA-DOA, BRD2",Asthma (adult onset),adult onset asthma,GCST009842,6:32992717
rs6454805-<b>?</b>,2 x 10-15,,NR,'-,'-,'-,BACH2,Asthma (adult onset),adult onset asthma,GCST009842,6:90276634
rs3104369-<b>?</b>,1 x 10-11,,NR,'-,'-,'-,HLA-DQA1,Asthma (adult onset),adult onset asthma,GCST009842,6:32634705
rs35789108-<b>?</b>,2 x 10-23,,NR,'-,'-,'-,HLA-DRB1,Asthma (adult onset),adult onset asthma,GCST009842,6:32582349
rs12661352-<b>?</b>,3 x 10-9,,NR,'-,'-,'-,"HLA-DOB, HLA-DQB2",Asthma (adult onset),adult onset asthma,GCST009842,6:32777750
rs4713555-<b>?</b>,7 x 10-13,,NR,'-,'-,'-,"HLA-DQA1, HLA-DRB1",Asthma (adult onset),adult onset asthma,GCST009842,6:32607747
rs566952760-<b>?</b>,2 x 10-10,,NR,'-,'-,'-,"HLA-DRB1, HLA-DQA1",Asthma (adult onset),adult onset asthma,GCST009842,6:32625016
rs9275282-<b>?</b>,1 x 10-14,,NR,'-,'-,'-,"HLA-DQB1, MTCO3P1",Asthma (adult onset),adult onset asthma,GCST009842,6:32695197
rs6689-<b>?</b>,3 x 10-9,,NR,'-,'-,'-,"HLA-DQB1, HLA-DQB1-AS1",Asthma (adult onset),adult onset asthma,GCST009842,6:32659923
rs9272426-<b>?</b>,1 x 10-33,,NR,'-,'-,'-,HLA-DQA1,Asthma (adult onset),adult onset asthma,GCST009842,6:32637412
rs28688825-<b>?</b>,9 x 10-24,,NR,'-,'-,'-,"HLA-DRB1, HLA-DQA1",Asthma (adult onset),adult onset asthma,GCST009842,6:32619380
rs34084957-<b>?</b>,3 x 10-12,,NR,'-,'-,'-,HLA-DRB1,Asthma (adult onset),adult onset asthma,GCST009842,6:32586627
rs9266629-<b>?</b>,4 x 10-9,,NR,'-,'-,'-,"FGFR3P1, ZDHHC20P2",Asthma (adult onset),adult onset asthma,GCST009842,6:31379045
rs2001628-<b>?</b>,1 x 10-12,,NR,'-,'-,'-,RNU6-1213P,Asthma (adult onset),adult onset asthma,GCST009842,8:80390804
rs10091870-<b>?</b>,4 x 10-9,,NR,'-,'-,'-,"RNU6-1213P, Y_RNA",Asthma (adult onset),adult onset asthma,GCST009842,8:80406657
rs7047575-<b>?</b>,3 x 10-9,,NR,'-,'-,'-,"AK4P4, ERMP1",Asthma (adult onset),adult onset asthma,GCST009842,9:5841438
rs7851246-<b>?</b>,2 x 10-19,,NR,'-,'-,'-,"UHRF2, TPD52L3",Asthma (adult onset),adult onset asthma,GCST009842,9:6362365
rs146597587-<b>?</b>,2 x 10-9,,NR,'-,'-,'-,IL33,Asthma (adult onset),adult onset asthma,GCST009842,9:6255967
rs992969-<b>?</b>,8 x 10-30,,NR,'-,'-,'-,"IL33, GTF3AP1",Asthma (adult onset),adult onset asthma,GCST009842,9:6209697
rs76962799-<b>?</b>,6 x 10-15,,NR,'-,'-,'-,GTF3AP1,Asthma (adult onset),adult onset asthma,GCST009842,9:6187132
rs115053934-<b>?</b>,1 x 10-8,,NR,'-,'-,'-,KIAA2026,Asthma (adult onset),adult onset asthma,GCST009842,9:5950583
rs10975413-<b>?</b>,8 x 10-18,,NR,'-,'-,'-,RANBP6,Asthma (adult onset),adult onset asthma,GCST009842,9:6049843
rs477771-<b>?</b>,2 x 10-9,,NR,'-,'-,'-,GATA3,Asthma (adult onset),adult onset asthma,GCST009842,10:8061096
rs12722502-<b>?</b>,3 x 10-10,,NR,'-,'-,'-,IL2RA,Asthma (adult onset),adult onset asthma,GCST009842,10:6051176
rs17406680-<b>?</b>,2 x 10-12,,NR,'-,'-,'-,'-,Asthma (adult onset),adult onset asthma,GCST009842,10:9166241
rs72782676-<b>?</b>,6 x 10-11,,NR,'-,'-,'-,LINC02676,Asthma (adult onset),adult onset asthma,GCST009842,10:8990592
rs962992-<b>?</b>,2 x 10-34,,NR,'-,'-,'-,LINC02676,Asthma (adult onset),adult onset asthma,GCST009842,10:9011110
rs12413578-<b>?</b>,5 x 10-26,,NR,'-,'-,'-,LINC02676,Asthma (adult onset),adult onset asthma,GCST009842,10:9007290
rs2589561-<b>?</b>,4 x 10-25,,NR,'-,'-,'-,LINC02676,Asthma (adult onset),adult onset asthma,GCST009842,10:9004682
rs930579-<b>?</b>,1 x 10-15,,NR,'-,'-,'-,LINC02676,Asthma (adult onset),adult onset asthma,GCST009842,10:8995529
rs827620-<b>?</b>,1 x 10-14,,NR,'-,'-,'-,LINC02676,Asthma (adult onset),adult onset asthma,GCST009842,10:8960206
rs10795672-<b>?</b>,2 x 10-11,,NR,'-,'-,'-,RNA5SP299,Asthma (adult onset),adult onset asthma,GCST009842,10:8735677
rs17145188-<b>?</b>,2 x 10-10,,NR,'-,'-,'-,'-,Asthma (adult onset),adult onset asthma,GCST009842,10:9066555
rs12785018-<b>?</b>,4 x 10-10,,NR,'-,'-,'-,KRT8P37,Asthma (adult onset),adult onset asthma,GCST009842,10:8473385
rs118091978-<b>?</b>,5 x 10-10,,NR,'-,'-,'-,'-,Asthma (adult onset),adult onset asthma,GCST009842,10:9108236
rs7936070-<b>?</b>,6 x 10-22,,NR,'-,'-,'-,"EMSY, LINC02757",Asthma (adult onset),adult onset asthma,GCST009842,11:76582483
rs55646091-<b>?</b>,2 x 10-11,,NR,'-,'-,'-,"LINC02757, EMSY",Asthma (adult onset),adult onset asthma,GCST009842,11:76588387
rs174584-<b>?</b>,4 x 10-16,,NR,'-,'-,'-,FADS2,Asthma (adult onset),adult onset asthma,GCST009842,11:61843278
rs705700-<b>?</b>,1 x 10-9,,NR,'-,'-,'-,RAB5B,Asthma (adult onset),adult onset asthma,GCST009842,12:55995509
rs1059513-<b>?</b>,2 x 10-15,,NR,'-,'-,'-,STAT6,Asthma (adult onset),adult onset asthma,GCST009842,12:57095926
rs17547610-<b>?</b>,9 x 10-9,,NR,'-,'-,'-,LRP1,Asthma (adult onset),adult onset asthma,GCST009842,12:57136558
rs3122929-<b>?</b>,3 x 10-14,,NR,'-,'-,'-,STAT6,Asthma (adult onset),adult onset asthma,GCST009842,12:57115319
rs8002731-<b>?</b>,4 x 10-10,,NR,'-,'-,'-,COG6,Asthma (adult onset),adult onset asthma,GCST009842,13:39788092
rs10152595-<b>?</b>,1 x 10-11,,NR,'-,'-,'-,SMAD3,Asthma (adult onset),adult onset asthma,GCST009842,15:67183150
rs7183955-<b>?</b>,3 x 10-8,,NR,'-,'-,'-,RORA,Asthma (adult onset),adult onset asthma,GCST009842,15:60757370
rs72743461-<b>?</b>,3 x 10-21,,NR,'-,'-,'-,SMAD3,Asthma (adult onset),adult onset asthma,GCST009842,15:67149412
rs28617673-<b>?</b>,1 x 10-10,,NR,'-,'-,'-,SMAD3,Asthma (adult onset),adult onset asthma,GCST009842,15:67078906
rs12912010-<b>?</b>,1 x 10-9,,NR,'-,'-,'-,SMAD3,Asthma (adult onset),adult onset asthma,GCST009842,15:67174805
rs35441874-<b>?</b>,3 x 10-15,,NR,'-,'-,'-,CLEC16A,Asthma (adult onset),adult onset asthma,GCST009842,16:11119164
rs140152038-<b>?</b>,2 x 10-8,,NR,'-,'-,'-,IL4R,Asthma (adult onset),adult onset asthma,GCST009842,16:27353989
rs2239346-<b>?</b>,5 x 10-9,,NR,'-,'-,'-,IL4R,Asthma (adult onset),adult onset asthma,GCST009842,16:27347740
