ID,Imprinted Gene,Gene,Paternal/Maternal,Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location,Grouping
3226,ZIM2,ZIM2-AS1,Paternal,rs10404342-<b>?</b>,8 x 10-6,,'-,'-,'-,'-,"ZNF71, ZIM2-AS1",IgE levels in asthmatics,"serum IgE measurement, asthma",GCST002122,19:56620870,Allergy
52,CCDC71L,CCDC71L,Paternal,rs2286149-<b>?</b>,2 x 10-8,,NR,'-,'-,'-,"CCDC71L, AC004917.1",Waist-hip ratio,waist-hip ratio,GCST007067,7:106659346,Anthropometric
130,DIO3,DIO3,Paternal,rs1955614-<b>?</b>,3 x 10-8,,NR,'-,'-,'-,"DIO3, LINC02320",Height,body height,GCST007841,14:101586438,Anthropometric
199,DLK1,DLK1,Paternal,rs28473022-<b>A</b>,1 x 10-9,,0.0506,'-,0.03446812 unit increase,[0.023-0.046],"DLK1, AL132711.1",Predicted visceral adipose tissue,visceral adipose tissue measurement,GCST008744,14:100695518,Anthropometric
200,DLK1,DLK1,Paternal,rs11160601-<b>?</b>,2 x 10-7,,NR,'-,0.1998 unit increase,[0.12-0.28],"DLK1, AL132711.1",Fat-free mass,lean body mass,GCST007063,14:100720304,Anthropometric
201,DLK1,DLK1,Paternal,rs11160601-<b>?</b>,2 x 10-9,(female),NR,'-,0.25359 unit increase,[0.17-0.34],"DLK1, AL132711.1",Fat-free mass,lean body mass,GCST007063,14:100720304,Anthropometric
202,DLK1,DLK1,Paternal,rs11160601-<b>?</b>,4 x 10-11,,NR,'-,'-,'-,"DLK1, AL132711.1",Body mass index,body mass index,GCST009871,14:100720304,Anthropometric
203,DLK1,DLK1,Paternal,rs117182230-<b>?</b>,1 x 10-18,,NR,'-,0.049768448 unit decrease,[0.039-0.061],DLK1,Height,body height,GCST008839,14:100729932,Anthropometric
204,DLK1,DLK1,Paternal,rs3783350-<b>?</b>,1 x 10-19,,NR,'-,'-,'-,DLK1,Height,body height,GCST007841,14:100732685,Anthropometric
205,DLK1,DLK1,Paternal,rs78420139-<b>G</b>,4 x 10-8,,0.944649,'-,0.0170415 unit increase,[0.011-0.023],DLK1,Body size at age 10,"comparative body size at age 10, self-reported",GCST010989,14:100735350,Anthropometric
279,DNMT1,DNMT1,Paternal,rs117952191-<b>?</b>,3 x 10-9,,NR,'-,'-,'-,"DNMT1, EIF3G",Heel bone mineral density,heel bone mineral density,GCST007066,19:10122946,Anthropometric
280,DNMT1,DNMT1,Paternal,rs78333947-<b>?</b>,8 x 10-39,,NR,'-,'-,'-,DNMT1,Height,body height,GCST007841,19:10143085,Anthropometric
281,DNMT1,DNMT1,Paternal,rs55818584-<b>A</b>,3 x 10-7,,0.2312,'-,0.0122 unit decrease,[0.0075-0.0169],"S1PR2, DNMT1",Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST008994,19:10221871,Anthropometric
316,DSCAM,DSCAM,Paternal,rs2837398-<b>A</b>,5 x 10-9,,0.595776,'-,0.00819988 unit decrease,[0.0055-0.0109],DSCAM,Adult body size,body height,GCST010988,21:40055241,Anthropometric
317,DSCAM,DSCAM,Paternal,rs2837398-<b>?</b>,9 x 10-10,,NR,'-,'-,'-,DSCAM,Body mass index,body mass index,GCST009871,21:40055241,Anthropometric
318,DSCAM,DSCAM,Paternal,rs2837398-<b>A</b>,1 x 10-10,,0.6075,'-,0.0112 unit decrease,[0.0079-0.0145],DSCAM,Body mass index,body mass index,GCST009004,21:40055241,Anthropometric
319,DSCAM,DSCAM,Paternal,rs2249498-<b>?</b>,5 x 10-10,,NR,'-,'-,'-,DSCAM,Body mass index,body mass index,GCST007039,21:40059947,Anthropometric
320,DSCAM,DSCAM,Paternal,rs7282525-<b>?</b>,1 x 10-11,,NR,'-,'-,'-,DSCAM,Height,body height,GCST007841,21:40088485,Anthropometric
321,DSCAM,DSCAM,Paternal,rs3804024-<b>G</b>,3 x 10-6,(Height z-score ),0.035,'-,0.03 SD increase,[NR],"DSCAM-IT1, DSCAM",Obesity-related traits,body height,GCST001762,21:40621781,Anthropometric
322,DSCAM,DSCAM,Paternal,rs3804024-<b>G</b>,9 x 10-7,(Arm span ),0.035,'-,0.03 cm increase,[NR],"DSCAM-IT1, DSCAM",Obesity-related traits,arm span,GCST001762,21:40621781,Anthropometric
339,DSCAM,DSCAM,Paternal,rs2249498-<b>?</b>,5 x 10-7,,'-,'-,'-,'-,DSCAM,Foot plantar flexion strength in Charcot-Marie-Tooth disease 1A,"Charcot-Marie-Tooth disease type 1A, foot muscle strength measurement",GCST008539,21:40059947,Anthropometric
340,DSCAM,DSCAM,Paternal,rs774787160-<b>A</b>,1 x 10-8,,0.73,'-,0.0983 unit increase,'-,"DSCAM-IT1, DSCAM",Low hand grip strength (60 years and older) (EWGSOP),grip strength measurement,GCST90007528,21:40624759,Anthropometric
354,DSCAM,DSCAM-IT1,Paternal,rs3804024-<b>G</b>,3 x 10-6,(Height z-score ),0.035,'-,0.03 SD increase,[NR],"DSCAM-IT1, DSCAM",Obesity-related traits,body height,GCST001762,21:40621781,Anthropometric
355,DSCAM,DSCAM-IT1,Paternal,rs3804024-<b>G</b>,9 x 10-7,(Arm span ),0.035,'-,0.03 cm increase,[NR],"DSCAM-IT1, DSCAM",Obesity-related traits,arm span,GCST001762,21:40621781,Anthropometric
357,DSCAM,DSCAM-IT1,Paternal,rs774787160-<b>A</b>,1 x 10-8,,0.73,'-,0.0983 unit increase,'-,"DSCAM-IT1, DSCAM",Low hand grip strength (60 years and older) (EWGSOP),grip strength measurement,GCST90007528,21:40624759,Anthropometric
466,GLI3,GLI3,Paternal,rs2237422-<b>?</b>,1 x 10-9,,NR,'-,'-,'-,GLI3,Height,body height,GCST007841,7:42061332,Anthropometric
467,GLI3,GLI3,Paternal,rs10269139-<b>?</b>,9 x 10-8,,NR,'-,0.13109 unit increase,[0.083-0.179],GLI3,Fat-free mass,lean body mass,GCST007063,7:42108589,Anthropometric
468,GLI3,GLI3,Paternal,rs10269139-<b>?</b>,3 x 10-8,(male),NR,'-,0.21545 unit increase,[0.14-0.29],GLI3,Fat-free mass,lean body mass,GCST007063,7:42108589,Anthropometric
469,GLI3,GLI3,Paternal,rs57734857-<b>?</b>,4 x 10-9,,NR,'-,'-,'-,GLI3,Height,body height,GCST007841,7:42179969,Anthropometric
470,GLI3,GLI3,Paternal,rs76990766-<b>?</b>,2 x 10-24,,NR,'-,'-,'-,"LINC01448, GLI3",Heel bone mineral density,heel bone mineral density,GCST007066,7:42567314,Anthropometric
471,GLI3,GLI3,Paternal,rs76990766-<b>?</b>,1 x 10-23,,NR,'-,0.0469767 unit decrease,[0.038-0.056],"LINC01448, GLI3",Heel bone mineral density,heel bone mineral density,GCST006433,7:42567314,Anthropometric
472,GLI3,GLI3,Paternal,rs76990766-<b>C</b>,3 x 10-28,,0.94847,'-,0.0452763 unit decrease,[0.037-0.053],"LINC01448, GLI3",Heel bone mineral density,heel bone mineral density,GCST006979,7:42567314,Anthropometric
473,GLI3,GLI3,Paternal,rs1568799-<b>?</b>,3 x 10-11,,NR,'-,'-,'-,"LINC01448, GLI3",Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST009858,7:42628277,Anthropometric
474,GLI3,GLI3,Paternal,rs1568799-<b>?</b>,1 x 10-12,,NR,'-,'-,'-,"LINC01448, GLI3",Waist-hip ratio,waist-hip ratio,GCST007067,7:42628277,Anthropometric
475,GLI3,GLI3,Paternal,rs13223303-<b>T</b>,9 x 10-7,,0.7073,'-,0.0106 unit increase,[0.0063-0.0149],"LINC01448, GLI3",Waist-hip ratio,waist-hip ratio,GCST008997,7:42653112,Anthropometric
476,GLI3,GLI3,Paternal,rs13223303-<b>T</b>,1 x 10-10,,0.7072,'-,0.014 unit increase,[0.0097-0.0183],"LINC01448, GLI3",Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST008994,7:42653112,Anthropometric
477,GLI3,GLI3,Paternal,rs2330627-<b>?</b>,1 x 10-18,,NR,'-,0.0232084 unit decrease,[0.018-0.028],"LINC01448, GLI3",Heel bone mineral density,heel bone mineral density,GCST006433,7:42656903,Anthropometric
504,GLI3,GLI3,Paternal,rs77640775-<b>A</b>,9 x 10-6,,0.137,'-,0.262 unit decrease,[0.15-0.38],GLI3,Digit length ratio (right hand),digit length ratio,GCST005748,7:42151115,Anthropometric
505,GLI3,GLI3,Paternal,rs77640775-<b>A</b>,4 x 10-8,,0.137,'-,0.291 unit decrease,[0.19-0.39],GLI3,Digit length ratio,digit length ratio,GCST005750,7:42151115,Anthropometric
506,GLI3,GLI3,Paternal,rs77640775-<b>A</b>,2 x 10-6,,0.136,'-,0.241 unit decrease,[0.14-0.34],GLI3,Digit length ratio (left hand),digit length ratio,GCST005749,7:42151115,Anthropometric
507,GLI3,GLI3,Paternal,rs77640775-<b>A</b>,2 x 10-6,(EA),0.137,'-,0.252 unit decrease,[0.15-0.36],GLI3,Digit length ratio (left hand),digit length ratio,GCST005749,7:42151115,Anthropometric
512,GLIS3,GLIS3,Paternal,rs702266-<b>T</b>,4 x 10-8,,0.871444,'-,0.055043 unit increase,[0.035-0.075],GLIS3,Appendicular lean mass,appendicular lean mass,GCST009577,9:3917685,Anthropometric
513,GLIS3,GLIS3,Paternal,rs927315-<b>T</b>,6 x 10-6,,0.474,'-,0.0291 unit increase,[0.017-0.042],GLIS3,Height,body height,GCST008163,9:4117713,Anthropometric
514,GLIS3,GLIS3,Paternal,rs6415788-<b>T</b>,1 x 10-6,,0.6011,'-,0.0338 unit decrease,[0.02-0.047],GLIS3,Height,body height,GCST008163,9:4118111,Anthropometric
515,GLIS3,GLIS3,Paternal,rs12554350-<b>T</b>,3 x 10-6,,0.3045,'-,0.0328 unit increase,[0.019-0.047],GLIS3,Height,body height,GCST008163,9:4154004,Anthropometric
516,GLIS3,GLIS3,Paternal,rs1983753-<b>?</b>,3 x 10-10,,NR,'-,'-,'-,GLIS3,Height,body height,GCST007841,9:4160364,Anthropometric
517,GLIS3,GLIS3,Paternal,rs7034200-<b>A</b>,7 x 10-7,,0.4938,'-,0.0008 unit increase,[-0.0005-0.0021],GLIS3,Fasting blood glucose (BMI interaction),"body mass index, fasting blood glucose measurement",GCST001527,9:4289050,Anthropometric
518,GLIS3,GLIS3,Paternal,rs10974438-<b>?</b>,2 x 10-10,,NR,'-,'-,'-,GLIS3,Height,body height,GCST007841,9:4291928,Anthropometric
609,GLIS3,GLIS3,Paternal,rs1403785912-<b>AT</b>,4 x 10-9,,0.52,'-,0.0765 unit increase,'-,GLIS3,Low hand grip strength (60 years and older) (FNIH),grip strength measurement,GCST90007529,9:4284961,Anthropometric
732,DIRAS3,GNG12-AS1,Paternal,rs1938434-<b>?</b>,2 x 10-8,,NR,'-,'-,'-,GNG12-AS1,Height,body height,GCST007841,1:67918991,Anthropometric
733,DIRAS3,GNG12-AS1,Paternal,rs12119450-<b>?</b>,1 x 10-13,,NR,'-,0.0185227 unit decrease,[0.013-0.024],GNG12-AS1,Heel bone mineral density,heel bone mineral density,GCST006433,1:67938520,Anthropometric
734,DIRAS3,GNG12-AS1,Paternal,rs12127020-<b>?</b>,2 x 10-14,,NR,'-,'-,'-,GNG12-AS1,Heel bone mineral density,heel bone mineral density,GCST007066,1:67938708,Anthropometric
735,DIRAS3,GNG12-AS1,Paternal,rs4397637-<b>G</b>,6 x 10-20,,0.813715,'-,0.0388858 unit decrease,[0.03-0.047],"WLS, GNG12-AS1",Heel bone mineral density,heel bone mineral density,GCST006288,1:68137448,Anthropometric
736,DIRAS3,GNG12-AS1,Paternal,rs4397637-<b>G</b>,2 x 10-11,(women),0.812718,'-,0.0383038 unit decrease,[0.027-0.05],"WLS, GNG12-AS1",Heel bone mineral density,heel bone mineral density,GCST006288,1:68137448,Anthropometric
737,DIRAS3,GNG12-AS1,Paternal,rs4397637-<b>G</b>,7 x 10-10,(men),0.814856,'-,0.0384775 unit decrease,[0.025-0.051],"WLS, GNG12-AS1",Heel bone mineral density,heel bone mineral density,GCST006288,1:68137448,Anthropometric
738,DIRAS3,GNG12-AS1,Paternal,rs4397637-<b>?</b>,5 x 10-43,,NR,'-,0.035059 unit decrease,[0.03-0.04],"WLS, GNG12-AS1",Heel bone mineral density,heel bone mineral density,GCST006433,1:68137448,Anthropometric
739,DIRAS3,GNG12-AS1,Paternal,rs983034-<b>C</b>,2 x 10-31,,0.60349,'-,0.0225488 unit increase,[0.019-0.026],"GNG12-AS1, WLS",Heel bone mineral density,heel bone mineral density,GCST006979,1:68137903,Anthropometric
740,DIRAS3,GNG12-AS1,Paternal,rs983034-<b>?</b>,8 x 10-45,,NR,'-,0.0279837 unit increase,[0.024-0.032],"GNG12-AS1, WLS",Heel bone mineral density,heel bone mineral density,GCST006433,1:68137903,Anthropometric
741,DIRAS3,GNG12-AS1,Paternal,rs1430742-<b>C</b>,3 x 10-13,,0.21,'-,0.11 s.d. increase,[0.07-0.14],"GNG12-AS1, WLS",Bone mineral density (spine),bone density,GCST000494,1:68169392,Anthropometric
742,DIRAS3,GNG12-AS1,Paternal,rs2566755-<b>C</b>,2 x 10-12,,0.21,'-,0.1 s.d. increase,[0.07-0.13],"GNG12-AS1, WLS",Bone mineral density (hip),bone density,GCST000495,1:68169707,Anthropometric
743,DIRAS3,GNG12-AS1,Paternal,rs12407028-<b>T</b>,3 x 10-45,,0.6,'-,0.08 unit increase,[NR],"GNG12-AS1, WLS",Lumbar spine bone mineral density,bone density,GCST001482,1:68182033,Anthropometric
744,DIRAS3,GNG12-AS1,Paternal,rs116251444-<b>?</b>,2 x 10-9,,NR,'-,0.0285795 unit decrease,[0.019-0.038],"GNG12-AS1, WLS",Heel bone mineral density,heel bone mineral density,GCST006433,1:68184950,Anthropometric
745,DIRAS3,GNG12-AS1,Paternal,rs2026749-<b>?</b>,7 x 10-64,,NR,'-,0.0347828 unit increase,[0.031-0.039],"WLS, GNG12-AS1",Heel bone mineral density,heel bone mineral density,GCST006433,1:68187806,Anthropometric
746,DIRAS3,GNG12-AS1,Paternal,rs2566752-<b>C</b>,3 x 10-9,,0.38,'-,0.16 g/cm2 increase,[0.1-0.22],"WLS, GNG12-AS1",Bone mineral density (spine),spine bone mineral density,GCST003380,1:68191014,Anthropometric
747,DIRAS3,GNG12-AS1,Paternal,rs2566752-<b>T</b>,5 x 10-20,,0.623326,'-,0.0644 unit decrease,[0.051-0.078],"WLS, GNG12-AS1",Femoral neck bone mineral density,femoral neck bone mineral density,GCST005795,1:68191014,Anthropometric
748,DIRAS3,GNG12-AS1,Paternal,rs2566752-<b>T</b>,4 x 10-23,,0.623326,'-,0.0789 unit decrease,[0.063-0.095],"WLS, GNG12-AS1",Lumbar spine bone mineral density,spine bone mineral density,GCST005796,1:68191014,Anthropometric
749,DIRAS3,GNG12-AS1,Paternal,rs2566752-<b>T</b>,7 x 10-31,(European),0.6112,'-,0.0744 unit decrease,'-,"WLS, GNG12-AS1",Total body bone mineral density,bone density,GCST005348,1:68191014,Anthropometric
750,DIRAS3,GNG12-AS1,Paternal,rs2566752-<b>T</b>,1 x 10-11,,0.6056,'-,0.075 unit decrease,'-,"WLS, GNG12-AS1",Total body bone mineral density (age 45-60),bone density,GCST005350,1:68191014,Anthropometric
751,DIRAS3,GNG12-AS1,Paternal,rs2566752-<b>T</b>,2 x 10-14,,0.6119,'-,0.0776 unit decrease,'-,"WLS, GNG12-AS1",Total body bone mineral density (age over 60),bone density,GCST005349,1:68191014,Anthropometric
752,DIRAS3,GNG12-AS1,Paternal,rs2566752-<b>T</b>,3 x 10-54,,0.626833,'-,0.0318699 unit decrease,[0.028-0.036],"WLS, GNG12-AS1",Heel bone mineral density,heel bone mineral density,GCST006979,1:68191014,Anthropometric
753,DIRAS3,GNG12-AS1,Paternal,rs2566752-<b>?</b>,2 x 10-75,,NR,'-,'-,'-,"WLS, GNG12-AS1",Heel bone mineral density,heel bone mineral density,GCST007066,1:68191014,Anthropometric
754,DIRAS3,GNG12-AS1,Paternal,rs2566752-<b>T</b>,2 x 10-34,,0.6103,'-,0.0721 unit decrease,'-,"WLS, GNG12-AS1",Total body bone mineral density,bone density,GCST005348,1:68191014,Anthropometric
755,DIRAS3,GNG12-AS1,Paternal,rs2566752-<b>?</b>,4 x 10-73,,NR,'-,0.0385636 unit decrease,[0.034-0.043],"WLS, GNG12-AS1",Heel bone mineral density,heel bone mineral density,GCST006433,1:68191014,Anthropometric
756,DIRAS3,GNG12-AS1,Paternal,rs140423501-<b>?</b>,5 x 10-8,,NR,'-,0.08 unit decrease,NR,"WLS, GNG12-AS1",Femoral neck bone mineral density,femoral neck bone mineral density,GCST010268,1:68191125,Anthropometric
757,DIRAS3,GNG12-AS1,Paternal,rs140423501-<b>?</b>,3 x 10-7,,NR,'-,'-,'-,"WLS, GNG12-AS1",Femoral neck bone mineral density and trunk fat mass adjusted by trunk lean mass,"lean mass-adjusted fat body mass, femoral neck bone mineral density",GCST010266,1:68191125,Anthropometric
758,DIRAS3,GNG12-AS1,Paternal,rs1430740-<b>?</b>,1 x 10-11,(spine),NR,'-,'-,'-,"WLS, GNG12-AS1",Bone mineral density,bone density,GCST002276,1:68191827,Anthropometric
759,DIRAS3,GNG12-AS1,Paternal,rs2820501-<b>C</b>,3 x 10-21,,0.0454163,'-,0.0429292 unit increase,[0.034-0.052],"GNG12-AS1, WLS",Heel bone mineral density,heel bone mineral density,GCST006979,1:68196599,Anthropometric
760,DIRAS3,GNG12-AS1,Paternal,rs78252812-<b>C</b>,2 x 10-10,,0.97214,'-,0.037522 unit decrease,[0.026-0.049],"WLS, GNG12-AS1",Heel bone mineral density,heel bone mineral density,GCST006979,1:68198221,Anthropometric
761,DIRAS3,GNG12-AS1,Paternal,rs143243230-<b>G</b>,1 x 10-26,,0.463462,'-,0.0368536 unit decrease,[0.03-0.044],"GNG12-AS1, WLS",Heel bone mineral density,heel bone mineral density,GCST006288,1:68199073,Anthropometric
762,DIRAS3,GNG12-AS1,Paternal,rs143243230-<b>G</b>,1 x 10-17,(women),0.46476,'-,0.0409612 unit decrease,[0.031-0.051],"GNG12-AS1, WLS",Heel bone mineral density,heel bone mineral density,GCST006288,1:68199073,Anthropometric
763,DIRAS3,GNG12-AS1,Paternal,rs143243230-<b>G</b>,9 x 10-10,(men),0.461976,'-,0.0320586 unit decrease,[0.021-0.043],"GNG12-AS1, WLS",Heel bone mineral density,heel bone mineral density,GCST006288,1:68199073,Anthropometric
764,DIRAS3,GNG12-AS1,Paternal,rs143243230-<b>?</b>,3 x 10-74,,NR,'-,0.0392969 unit decrease,[0.035-0.044],"GNG12-AS1, WLS",Heel bone mineral density,heel bone mineral density,GCST006433,1:68199073,Anthropometric
765,DIRAS3,GNG12-AS1,Paternal,rs7554551-<b>T</b>,2 x 10-13,,0.65836,'-,0.0155654 unit decrease,[0.011-0.02],"WLS, GNG12-AS1",Heel bone mineral density,heel bone mineral density,GCST006979,1:68199340,Anthropometric
766,DIRAS3,GNG12-AS1,Paternal,rs7554551-<b>?</b>,2 x 10-36,,NR,'-,0.0275089 unit decrease,[0.023-0.032],"WLS, GNG12-AS1",Heel bone mineral density,heel bone mineral density,GCST006433,1:68199340,Anthropometric
777,GPR1,GPR1,Paternal,rs13011260-<b>?</b>,1 x 10-12,,NR,'-,'-,'-,"EEF1B2, GPR1",Waist-hip ratio,waist-hip ratio,GCST007067,2:206173697,Anthropometric
778,GPR1,GPR1,Paternal,rs114670539-<b>T</b>,5 x 10-8,(EA),NR,'-,0.2699 unit increase,[0.17-0.37],GPR1,Childhood obesity,obesity,GCST009382,2:206199611,Anthropometric
779,GPR1,GPR1,Paternal,rs114670539-<b>T</b>,3 x 10-8,,0.05,'-,0.099 unit increase,[0.064-0.134],GPR1,Childhood body mass index,body mass index,GCST90002409,2:206199611,Anthropometric
780,GPR1,GPR1,Paternal,rs115319174-<b>G</b>,3 x 10-44,,0.942407,'-,0.0423448 unit decrease,[0.036-0.048],GPR1,Body size at age 10,"comparative body size at age 10, self-reported",GCST010989,2:206201750,Anthropometric
876,HECW1,HECW1,Paternal,rs2024125-<b>G</b>,6 x 10-6,(Diet carbohydrate ),0.458,'-,0.02 %energy increase,[NR],"HECW1-IT1, HECW1",Obesity-related traits,energy intake,GCST001762,7:43118878,Anthropometric
877,HECW1,HECW1,Paternal,rs34610745-<b>G</b>,5 x 10-6,,NR,'-,0.2 unit increase,[NR],HECW1,Bone mineral density (Ward's triangle area),femoral neck bone mineral density,GCST003654,7:43294976,Anthropometric
892,HECW1,HECW1-IT1,Paternal,rs2024125-<b>G</b>,6 x 10-6,(Diet carbohydrate ),0.458,'-,0.02 %energy increase,[NR],"HECW1-IT1, HECW1",Obesity-related traits,energy intake,GCST001762,7:43118878,Anthropometric
1237,IGF2,IGF2,Paternal,rs35506085-<b>?</b>,1 x 10-8,(female),NR,'-,0.17954 unit decrease,[0.12-0.24],"INS-IGF2, IGF2-AS",Fat-free mass,lean body mass,GCST007063,11:2144346,Anthropometric
1240,IGF2,IGF2,Paternal,rs35506085-<b>?</b>,8 x 10-58,,NR,'-,'-,'-,"INS-IGF2, IGF2-AS",Height,body height,GCST007841,11:2144346,Anthropometric
1247,IGF2,IGF2,Paternal,rs12575480-<b>A</b>,2 x 10-6,(African),0.06211,'-,'-,'-,"IGF2, H19",Pursuit maintenance gain,pursuit maintenance gain measurement,GCST005024,11:2086425,Anthropometric
1275,IGF2,IGF2,Paternal,rs3842763-<b>?</b>,2 x 10-8,,NR,'-,'-,'-,INS-IGF2,Waist-hip ratio,waist-hip ratio,GCST007067,11:2157974,Anthropometric
1292,IGF2,IGF2,Paternal,rs35506085-<b>?</b>,5 x 10-10,,NR,'-,0.17845 unit decrease,[0.12-0.23],"INS-IGF2, IGF2-AS",Fat-free mass,lean body mass,GCST007063,11:2144346,Anthropometric
1306,IGF2,IGF2,Paternal,rs7948458-<b>?</b>,4 x 10-7,(weight),NR,'-,0.0137686 unit decrease,[0.0085-0.0191],INS-IGF2,Anthropometric traits,"body weight, body weights and measures",GCST007485,11:2151600,Anthropometric
1307,IGF2,IGF2,Paternal,rs7948458-<b>?</b>,2 x 10-21,,'-,'-,'-,'-,INS-IGF2,Anthropometric traits (multi-trait analysis),body weights and measures,GCST007490,11:2151600,Anthropometric
1316,IGF2,IGF2-AS,Paternal,rs35506085-<b>?</b>,1 x 10-8,(female),NR,'-,0.17954 unit decrease,[0.12-0.24],"INS-IGF2, IGF2-AS",Fat-free mass,lean body mass,GCST007063,11:2144346,Anthropometric
1317,IGF2,IGF2-AS,Paternal,rs35506085-<b>?</b>,5 x 10-10,,NR,'-,0.17845 unit decrease,[0.12-0.23],"INS-IGF2, IGF2-AS",Fat-free mass,lean body mass,GCST007063,11:2144346,Anthropometric
1319,IGF2,IGF2-AS,Paternal,rs35506085-<b>?</b>,8 x 10-58,,NR,'-,'-,'-,"INS-IGF2, IGF2-AS",Height,body height,GCST007841,11:2144346,Anthropometric
1340,IGF2,INS-IGF2,Paternal,rs7948458-<b>?</b>,4 x 10-7,(weight),NR,'-,0.0137686 unit decrease,[0.0085-0.0191],INS-IGF2,Anthropometric traits,"body weight, body weights and measures",GCST007485,11:2151600,Anthropometric
1341,IGF2,INS-IGF2,Paternal,rs7948458-<b>?</b>,2 x 10-21,,'-,'-,'-,'-,INS-IGF2,Anthropometric traits (multi-trait analysis),body weights and measures,GCST007490,11:2151600,Anthropometric
1353,IGF2,INS-IGF2,Paternal,rs3842763-<b>?</b>,2 x 10-8,,NR,'-,'-,'-,INS-IGF2,Waist-hip ratio,waist-hip ratio,GCST007067,11:2157974,Anthropometric
1355,IGF2,INS-IGF2,Paternal,rs35506085-<b>?</b>,1 x 10-8,(female),NR,'-,0.17954 unit decrease,[0.12-0.24],"INS-IGF2, IGF2-AS",Fat-free mass,lean body mass,GCST007063,11:2144346,Anthropometric
1362,IGF2,INS-IGF2,Paternal,rs35506085-<b>?</b>,8 x 10-58,,NR,'-,'-,'-,"INS-IGF2, IGF2-AS",Height,body height,GCST007841,11:2144346,Anthropometric
1384,IGF2,INS-IGF2,Paternal,rs35506085-<b>?</b>,5 x 10-10,,NR,'-,0.17845 unit decrease,[0.12-0.23],"INS-IGF2, IGF2-AS",Fat-free mass,lean body mass,GCST007063,11:2144346,Anthropometric
1415,INS,INS,Paternal,rs7948458-<b>?</b>,4 x 10-7,(weight),NR,'-,0.0137686 unit decrease,[0.0085-0.0191],INS-IGF2,Anthropometric traits,"body weight, body weights and measures",GCST007485,11:2151600,Anthropometric
1416,INS,INS,Paternal,rs7948458-<b>?</b>,2 x 10-21,,'-,'-,'-,'-,INS-IGF2,Anthropometric traits (multi-trait analysis),body weights and measures,GCST007490,11:2151600,Anthropometric
1427,INS,INS,Paternal,rs3842763-<b>?</b>,2 x 10-8,,NR,'-,'-,'-,INS-IGF2,Waist-hip ratio,waist-hip ratio,GCST007067,11:2157974,Anthropometric
