ID,Imprinted Gene,Gene,Paternal/Maternal,Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location,Grouping
1585,KCNQ1,KCNQ1,Maternal,rs150199504-<b>C</b>,3 x 10-6,,0.9917,'-,0.208 unit increase,[0.12-0.3],KCNQ1,Height,body height,GCST008163,11:2793730,Anthropometric
1586,KCNQ1,KCNQ1,Maternal,rs147072329-<b>?</b>,4 x 10-9,,NR,'-,'-,'-,KCNQ1,Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST009867,11:2797727,Anthropometric
1587,KCNQ1,KCNQ1,Maternal,rs2237892-<b>T</b>,9 x 10-13,,0.36,'-,0.0298 unit increase,[0.022-0.038],KCNQ1,Body mass index,body mass index,GCST002461,11:2818521,Anthropometric
1588,KCNQ1,KCNQ1,Maternal,rs60808706-<b>A</b>,1 x 10-38,(Japanese),0.392,'-,0.046 unit increase,[0.038-0.054],KCNQ1,Body mass index,body mass index,GCST004904,11:2836003,Anthropometric
1589,KCNQ1,KCNQ1,Maternal,rs2237897-<b>A</b>,2 x 10-8,,'-,'-,0.0066 unit increase,'-,KCNQ1,Body mass index,body mass index,GCST009764,11:2837316,Anthropometric
1590,KCNQ1,KCNQ1,Maternal,rs2237897-<b>T</b>,1 x 10-30,,0.05,'-,0.038 unit increase,[0.032-0.044],KCNQ1,Body mass index,body mass index,GCST004904,11:2837316,Anthropometric
1944,KLF14,KLF14,Maternal,rs6942396-<b>A</b>,9 x 10-6,,0.291,'-,0.0333 unit increase,[0.019-0.048],"KLF14, TSGA13",Body mass index,body mass index,GCST008158,7:130701531,Anthropometric
1945,KLF14,KLF14,Maternal,rs3909553-<b>?</b>,6 x 10-10,,NR,'-,'-,'-,KLF14,Body mass index,body mass index,GCST007039,7:130732987,Anthropometric
1946,KLF14,KLF14,Maternal,rs3909553-<b>?</b>,1 x 10-9,,NR,'-,'-,'-,KLF14,Body mass index,body mass index,GCST009871,7:130732987,Anthropometric
1947,KLF14,KLF14,Maternal,rs35775580-<b>A</b>,3 x 10-8,,0.953004,'-,0.0180149 unit increase,[0.012-0.024],"KLF14, AC016831.5",Adult body size,body height,GCST010988,7:130735979,Anthropometric
1948,KLF14,KLF14,Maternal,rs35775580-<b>?</b>,7 x 10-9,,NR,'-,'-,'-,"KLF14, AC016831.5",Height,body height,GCST007841,7:130735979,Anthropometric
1962,KLF14,KLF14,Maternal,rs111968456-<b>A</b>,4 x 10-8,,0.001,'-,2.1205 unit decrease,[1.36-2.88],"KLF14, AC016831.5",Hip circumference adjusted for BMI,BMI-adjusted hip circumference,GCST008156,7:130741021,Anthropometric
1964,KLF14,KLF14,Maternal,rs10260148-<b>?</b>,1 x 10-13,,NR,'-,'-,'-,"KLF14, AC016831.5",Waist-hip ratio,waist-hip ratio,GCST007067,7:130746210,Anthropometric
1965,KLF14,KLF14,Maternal,rs6971365-<b>C</b>,3 x 10-8,(women),0.3,'-,0.027 units increase,'-,"AC016831.5, KLF14",Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST005956,7:130747722,Anthropometric
1966,KLF14,KLF14,Maternal,rs6971365-<b>C</b>,6 x 10-7,,0.29999,'-,'-,'-,"AC016831.5, KLF14",Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test),"BMI-adjusted waist-hip ratio, sex interaction measurement, age at assessment",GCST005962,7:130747722,Anthropometric
1967,KLF14,KLF14,Maternal,rs6971365-<b>C</b>,1 x 10-7,(women),0.29999,'-,0.0332 unit increase,'-,"AC016831.5, KLF14",Waist-to-hip ratio adjusted for BMI (age >50),BMI-adjusted waist-hip ratio,GCST005958,7:130747722,Anthropometric
1968,KLF14,KLF14,Maternal,rs6971365-<b>C</b>,3 x 10-6,,0.3,'-,'-,'-,"AC016831.5, KLF14",Waist-to-hip ratio adjusted for BMI x sex interaction,"BMI-adjusted waist-hip ratio, sex interaction measurement",GCST005959,7:130747722,Anthropometric
1976,KLF14,KLF14,Maternal,rs4731702-<b>T</b>,5 x 10-20,,0.4493,'-,'-,'-,"AC016831.5, KLF14",Body fat percentage and HDL-C (pairwise),"body fat percentage, high density lipoprotein cholesterol measurement",GCST011344,7:130748625,Anthropometric
1977,KLF14,KLF14,Maternal,rs6961342-<b>?</b>,7 x 10-17,,NR,'-,'-,'-,"AC016831.5, KLF14",Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST009858,7:130749185,Anthropometric
1978,KLF14,KLF14,Maternal,rs7783857-<b>C</b>,3 x 10-7,,0.7317,'-,0.0096 unit decrease,[0.0059-0.0133],"AC016831.5, KLF14",Waist-hip ratio,waist-hip ratio,GCST008997,7:130754299,Anthropometric
1979,KLF14,KLF14,Maternal,rs7783857-<b>C</b>,1 x 10-16,,0.7318,'-,0.0157 unit decrease,[0.012-0.019],"AC016831.5, KLF14",Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST008994,7:130754299,Anthropometric
1980,KLF14,KLF14,Maternal,rs13241538-<b>C</b>,4 x 10-6,"(EA, women)",0.4784,'-,0.0207 unit decrease,[0.012-0.03],"AC016831.5, KLF14",Waist-to-hip ratio adjusted for body mass index,BMI-adjusted waist-hip ratio,GCST002782,7:130755103,Anthropometric
1981,KLF14,KLF14,Maternal,rs13241538-<b>C</b>,9 x 10-6,(women),0.4714,'-,0.0195 unit decrease,[0.011-0.028],"AC016831.5, KLF14",Waist-to-hip ratio adjusted for body mass index,BMI-adjusted waist-hip ratio,GCST002782,7:130755103,Anthropometric
1982,KLF14,KLF14,Maternal,rs13241538-<b>C</b>,2 x 10-6,(EA),0.478,'-,0.0168 unit increase,[0.0099-0.0237],"AC016831.5, KLF14",Hip circumference adjusted for BMI,BMI-adjusted hip circumference,GCST004067,7:130755103,Anthropometric
1983,KLF14,KLF14,Maternal,rs13241538-<b>C</b>,1 x 10-13,"(EA, women)",0.478,'-,0.0334 unit increase,[0.025-0.042],"AC016831.5, KLF14",Hip circumference adjusted for BMI,BMI-adjusted hip circumference,GCST004067,7:130755103,Anthropometric
1986,KLF14,KLF14,Maternal,rs17789506-<b>?</b>,3 x 10-11,,NR,'-,'-,'-,"KLF14, AC016831.5",Hip circumference variance,hip circumference,GCST009109,7:130760815,Anthropometric
1987,KLF14,KLF14,Maternal,rs17789506-<b>?</b>,2 x 10-18,,NR,'-,'-,'-,"KLF14, AC016831.5",Hip circumference,hip circumference,GCST009123,7:130760815,Anthropometric
1990,KLF14,KLF14,Maternal,rs1364422-<b>T</b>,1 x 10-9,"(EA,women)",0.2858,'-,0.0308 unit decrease,[0.021-0.041],"AC016831.5, KLF14",Hip circumference,hip circumference,GCST004066,7:130761222,Anthropometric
1991,KLF14,KLF14,Maternal,rs12667251-<b>?</b>,7 x 10-12,,NR,'-,'-,'-,"KLF14, AC016831.5",Waist circumference variance,waist circumference,GCST009108,7:130764699,Anthropometric
1994,KLF14,KLF14,Maternal,rs972283-<b>?</b>,5 x 10-10,,NR,'-,0.13101 unit decrease,[0.09-0.172],"AC016831.5, KLF14",Body fat percentage,body fat percentage,GCST007064,7:130782095,Anthropometric
1995,KLF14,KLF14,Maternal,rs972283-<b>?</b>,2 x 10-7,(female),NR,'-,0.18011 unit decrease,[0.11-0.25],"AC016831.5, KLF14",Body fat percentage,body fat percentage,GCST007064,7:130782095,Anthropometric
1996,KLF14,KLF14,Maternal,rs972283-<b>G</b>,6 x 10-10,,0.551,'-,0.038 unit decrease,[0.026-0.05],"AC016831.5, KLF14",circulating leptin levels,leptin measurement,GCST90007307,7:130782095,Anthropometric
2038,KLF14,KLF14,Maternal,rs4731702-<b>T</b>,5 x 10-9,,0.4493,'-,'-,'-,"AC016831.5, KLF14",Body fat percentage and type 2 diabetes (pairwise),"body fat percentage, type II diabetes mellitus",GCST011337,7:130748625,Anthropometric
2053,KLF14,KLF14,Maternal,rs972283-<b>G</b>,7 x 10-8,,0.555,'-,0.043 unit decrease,[0.027-0.059],"AC016831.5, KLF14",circulating leptin levels,leptin measurement,GCST90007309,7:130782095,Anthropometric
2054,KLF14,KLF14,Maternal,rs972283-<b>G</b>,1 x 10-10,,0.521,'-,0.041 unit decrease,[0.029-0.053],"AC016831.5, KLF14",circulating leptin levels,leptin measurement,GCST90007310,7:130782095,Anthropometric
2055,KLF14,KLF14,Maternal,rs972283-<b>G</b>,2 x 10-8,,0.521,'-,0.048 unit decrease,[0.03-0.066],"AC016831.5, KLF14",circulating leptin levels,leptin measurement,GCST90007312,7:130782095,Anthropometric
2056,KLF14,KLF14,Maternal,rs972283-<b>G</b>,3 x 10-7,,0.551,'-,0.049 unit decrease,[0.031-0.067],"AC016831.5, KLF14",circulating leptin levels,leptin measurement,GCST90007313,7:130782095,Anthropometric
2057,KLF14,KLF14,Maternal,rs972283-<b>G</b>,9 x 10-6,,0.555,'-,0.055 unit decrease,[0.031-0.079],"AC016831.5, KLF14",circulating leptin levels,leptin measurement,GCST90007315,7:130782095,Anthropometric
2058,KLF14,KLF14,Maternal,rs972283-<b>G</b>,1 x 10-7,,0.521,'-,0.054 unit decrease,[0.034-0.074],"AC016831.5, KLF14",circulating leptin levels,leptin measurement,GCST90007316,7:130782095,Anthropometric
2059,KLF14,KLF14,Maternal,rs972283-<b>G</b>,6 x 10-6,,0.521,'-,0.062 unit decrease,[0.035-0.089],"AC016831.5, KLF14",circulating leptin levels,leptin measurement,GCST90007318,7:130782095,Anthropometric
2060,KLF14,KLF14,Maternal,rs972283-<b>G</b>,6 x 10-18,,0.55,'-,0.053 unit decrease,[0.041-0.065],"AC016831.5, KLF14",circulating leptin levels adjusted for BMI,BMI-adjusted leptin measurement,GCST90007319,7:130782095,Anthropometric
2061,KLF14,KLF14,Maternal,rs972283-<b>G</b>,2 x 10-6,,0.544,'-,0.045 unit decrease,[0.027-0.063],"AC016831.5, KLF14",circulating leptin levels adjusted for BMI,BMI-adjusted leptin measurement,GCST90007320,7:130782095,Anthropometric
2062,KLF14,KLF14,Maternal,rs972283-<b>G</b>,4 x 10-15,,0.555,'-,0.063 unit decrease,[0.047-0.079],"AC016831.5, KLF14",circulating leptin levels adjusted for BMI,BMI-adjusted leptin measurement,GCST90007321,7:130782095,Anthropometric
2062,KLF14,KLF14,Maternal,rs972283-<b>G</b>,4 x 10-15,,0.555,'-,0.063 unit decrease,[0.047-0.079],"AC016831.5, KLF14",circulating leptin levels adjusted for BMI,BMI-adjusted leptin measurement,GCST90007321,7:130782095,Anthropometric
2064,KLF14,KLF14,Maternal,rs972283-<b>G</b>,5 x 10-7,,0.522,'-,0.048 unit decrease,[0.028-0.068],"AC016831.5, KLF14",circulating leptin levels adjusted for BMI,BMI-adjusted leptin measurement,GCST90007323,7:130782095,Anthropometric
2065,KLF14,KLF14,Maternal,rs972283-<b>G</b>,1 x 10-14,,0.521,'-,0.066 unit decrease,[0.048-0.084],"AC016831.5, KLF14",circulating leptin levels adjusted for BMI,BMI-adjusted leptin measurement,GCST90007324,7:130782095,Anthropometric
2066,KLF14,KLF14,Maternal,rs972283-<b>G</b>,6 x 10-14,,0.55,'-,0.071 unit decrease,[0.053-0.089],"AC016831.5, KLF14",circulating leptin levels adjusted for BMI,BMI-adjusted leptin measurement,GCST90007325,7:130782095,Anthropometric
2067,KLF14,KLF14,Maternal,rs972283-<b>G</b>,3 x 10-12,,0.555,'-,0.086 unit decrease,[0.062-0.11],"AC016831.5, KLF14",circulating leptin levels adjusted for BMI,BMI-adjusted leptin measurement,GCST90007327,7:130782095,Anthropometric
2068,KLF14,KLF14,Maternal,rs972283-<b>G</b>,8 x 10-18,,0.521,'-,0.079 unit decrease,[0.059-0.099],"AC016831.5, KLF14",circulating leptin levels adjusted for BMI,BMI-adjusted leptin measurement,GCST90007328,7:130782095,Anthropometric
2069,KLF14,KLF14,Maternal,rs972283-<b>G</b>,1 x 10-12,,0.521,'-,0.096 unit decrease,[0.069-0.123],"AC016831.5, KLF14",circulating leptin levels adjusted for BMI,BMI-adjusted leptin measurement,GCST90007330,7:130782095,Anthropometric
2268,MAGI2,MAGI2,Maternal,rs3779273-<b>G</b>,2 x 10-7,,0.586,'-,0.015 kg/m2 increase,[0.0095-0.0213],MAGI2,Body mass index,body mass index,GCST002783,7:78199623,Anthropometric
2269,MAGI2,MAGI2,Maternal,rs3779273-<b>G</b>,2 x 10-6,(EA),0.586,'-,0.015 kg/m2 increase,[0.0088-0.021],MAGI2,Body mass index,body mass index,GCST002783,7:78199623,Anthropometric
2270,MAGI2,MAGI2,Maternal,rs3779273-<b>A</b>,8 x 10-10,,0.4,'-,0.014 unit decrease,[0.01-0.018],MAGI2,Body mass index,body mass index,GCST004904,7:78199623,Anthropometric
2271,MAGI2,MAGI2,Maternal,rs3779273-<b>G</b>,2 x 10-7,,NR,'-,0.013 unit increase,[NR],MAGI2,Body mass index,body mass index,GCST006368,7:78199623,Anthropometric
2272,MAGI2,MAGI2,Maternal,rs1852006-<b>A</b>,7 x 10-18,,0.376,'-,0.0153 unit decrease,[0.012-0.019],MAGI2,Body mass index,body mass index,GCST009001,7:78200451,Anthropometric
2273,MAGI2,MAGI2,Maternal,rs1852006-<b>?</b>,3 x 10-13,,NR,'-,'-,'-,MAGI2,Body mass index,body mass index,GCST007039,7:78200451,Anthropometric
2274,MAGI2,MAGI2,Maternal,rs1852006-<b>A</b>,7 x 10-18,,0.376,'-,0.0153 unit decrease,[0.012-0.019],MAGI2,Body mass index,body mass index,GCST009004,7:78200451,Anthropometric
2275,MAGI2,MAGI2,Maternal,rs1852006-<b>G</b>,7 x 10-10,,0.64299,'-,0.00883089 unit increase,[0.006-0.0116],MAGI2,Adult body size,body height,GCST010988,7:78200451,Anthropometric
2276,MAGI2,MAGI2,Maternal,rs1852006-<b>?</b>,2 x 10-13,,NR,'-,'-,'-,MAGI2,Body mass index,body mass index,GCST009871,7:78200451,Anthropometric
2277,MAGI2,MAGI2,Maternal,rs1852006-<b>G</b>,2 x 10-9,,0.64299,'-,0.00877312 unit increase,[0.0059-0.0116],MAGI2,Body size at age 10,"comparative body size at age 10, self-reported",GCST010989,7:78200451,Anthropometric
2278,MAGI2,MAGI2,Maternal,rs2691543-<b>T</b>,5 x 10-6,,0.97,'-,3.45 cm increase,[1.97-4.93],MAGI2,Height,body height,GCST000839,7:78335471,Anthropometric
2279,MAGI2,MAGI2,Maternal,rs142538175-<b>G</b>,6 x 10-6,(adjusted for subcutaneous fat),NR,'-,0.283 unit decrease,[0.16-0.41],MAGI2,Visceral fat,visceral adipose tissue measurement,GCST008473,7:78345474,Anthropometric
2280,MAGI2,MAGI2,Maternal,rs7805441-<b>?</b>,8 x 10-10,,NR,'-,'-,'-,MAGI2,Body mass index,body mass index,GCST007039,7:78492141,Anthropometric
2281,MAGI2,MAGI2,Maternal,rs62467106-<b>?</b>,8 x 10-10,,NR,'-,'-,'-,MAGI2,Body mass index,body mass index,GCST009871,7:78492946,Anthropometric
2282,MAGI2,MAGI2,Maternal,rs1030015-<b>T</b>,1 x 10-10,,0.5422,'-,0.0109 unit increase,[0.0076-0.0142],MAGI2,Body mass index,body mass index,GCST009004,7:78510264,Anthropometric
2283,MAGI2,MAGI2,Maternal,rs6963840-<b>C</b>,9 x 10-12,,0.844199,'-,0.0129345 unit decrease,[0.0092-0.0166],MAGI2,Adult body size,body height,GCST010988,7:78515054,Anthropometric
2284,MAGI2,MAGI2,Maternal,rs12666870-<b>G</b>,3 x 10-6,(Light activity ),0.249,'-,0.04 min/d increase,[NR],MAGI2,Obesity-related traits,physical activity,GCST001762,7:78529155,Anthropometric
2285,MAGI2,MAGI2,Maternal,rs761019157-<b>A</b>,2 x 10-7,,0.0012,'-,2.1563 unit decrease,[1.35-2.96],"NUP35P2, MAGI2-AS3",Hip circumference adjusted for BMI,BMI-adjusted hip circumference,GCST008156,7:79474805,Anthropometric
2345,MAGI2,MAGI2-AS3,Maternal,rs761019157-<b>A</b>,2 x 10-7,,0.0012,'-,2.1563 unit decrease,[1.35-2.96],"NUP35P2, MAGI2-AS3",Hip circumference adjusted for BMI,BMI-adjusted hip circumference,GCST008156,7:79474805,Anthropometric
2388,NTM,NTM,Maternal,rs11601906-<b>A</b>,2 x 10-6,(Ft4 ),0.021,'-,0.04 ng/dL increase,[NR],NTM,Obesity-related traits,hormone measurement,GCST001762,11:131455352,Anthropometric
2389,NTM,NTM,Maternal,rs12788343-<b>T</b>,4 x 10-12,,0.590818,'-,0.00965197 unit decrease,[0.0069-0.0124],NTM,Adult body size,body height,GCST010988,11:131583018,Anthropometric
2390,NTM,NTM,Maternal,rs12788343-<b>?</b>,1 x 10-13,,NR,'-,'-,'-,NTM,Body mass index,body mass index,GCST007039,11:131583018,Anthropometric
2391,NTM,NTM,Maternal,rs1040102-<b>?</b>,3 x 10-11,,NR,'-,'-,'-,NTM,Body mass index,body mass index,GCST009871,11:131584054,Anthropometric
2392,NTM,NTM,Maternal,rs71483681-<b>T</b>,1 x 10-8,,0.487454,'-,0.00806318 unit decrease,[0.0053-0.0108],NTM,Body size at age 10,"comparative body size at age 10, self-reported",GCST010989,11:131599311,Anthropometric
2393,NTM,NTM,Maternal,rs1506662-<b>A</b>,3 x 10-12,,0.5281,'-,0.0118 unit increase,[0.0085-0.0151],NTM,Body mass index,body mass index,GCST009004,11:131607353,Anthropometric
2394,NTM,NTM,Maternal,rs4936142-<b>?</b>,8 x 10-13,,NR,'-,'-,'-,NTM,Body mass index,body mass index,GCST009871,11:131609374,Anthropometric
2395,NTM,NTM,Maternal,rs1793636-<b>?</b>,3 x 10-10,,NR,'-,'-,'-,NTM,Body mass index,body mass index,GCST009871,11:132065032,Anthropometric
2396,NTM,NTM,Maternal,rs1625427-<b>?</b>,9 x 10-10,,NR,'-,'-,'-,NTM,Body mass index,body mass index,GCST007039,11:132087399,Anthropometric
2397,NTM,NTM,Maternal,rs12222235-<b>T</b>,2 x 10-12,,0.3305,'-,0.0128 unit decrease,[0.0093-0.0163],NTM,Body mass index,body mass index,GCST009004,11:132114436,Anthropometric
