Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location
rs72617242-<b>?</b>,1 x 10-14,"(MHBMA, EA)",NR,'-,'-,'-,'-,"Urinary 1,3-butadiene metabolite levels in smokers","smoking status measurement, urinary 1,3-butadiene measurement",GCST004254,Mapping not available
rs35138315-<b>C</b>,6 x 10-37,,NR,'-,0.7722 unit increase,[0.65-0.89],COL4A4,Urinary microalbumin levels,urinary microalbumin measurement,GCST90019514,2:227052367
rs45551835-<b>A</b>,9 x 10-28,,NR,'-,0.1686 unit increase,[0.14-0.2],CUBN,Urinary microalbumin levels,urinary microalbumin measurement,GCST90019514,10:16890385
rs141640975-<b>A</b>,3 x 10-26,,NR,'-,0.3558 unit increase,[0.29-0.42],CUBN,Urinary microalbumin levels,urinary microalbumin measurement,GCST90019514,10:16950012
rs1801240-<b>C</b>,2 x 10-19,,NR,'-,0.0598 unit increase,[0.047-0.073],CUBN,Urinary microalbumin levels,urinary microalbumin measurement,GCST90019514,10:16876998
rs116867125-<b>A</b>,4 x 10-10,,NR,'-,0.0961 unit increase,[0.066-0.126],CUBN,Urinary microalbumin levels,urinary microalbumin measurement,GCST90019514,10:16991505
rs150396451-<b>A</b>,3 x 10-8,(C6),0.1682,'-,0.1379 unit increase,[0.09-0.186],ACOT7,Metabolite levels,acylcarnitine measurement,GCST009698,1:6335129
rs200200955-<b>A</b>,5 x 10-8,(C10),0.8747,'-,0.178 unit increase,[0.11-0.24],ETFDH,Metabolite levels,acylcarnitine measurement,GCST009698,4:158700576
rs76880674-<b>A</b>,2 x 10-9,(C16),0.1852,'-,0.0911 unit increase,[0.057-0.126],"CPT2, SLC1A7",Metabolite levels,acylcarnitine measurement,GCST009698,1:53192788
chr1:110225019-<b>?</b>,9 x 10-13,(C18:1-DC),0.7568,'-,0.1926 unit decrease,[0.14-0.25],'-,Metabolite levels,acylcarnitine measurement,GCST009698,Mapping not available
rs77466051-<b>A</b>,2 x 10-18,(C5-DC),0.7793,'-,0.0877 unit increase,[0.063-0.113],CPT2,Metabolite levels,acylcarnitine measurement,GCST009698,1:53203752
rs314251-<b>A</b>,3 x 10-9,(C12),0.851,'-,0.1817 unit increase,[0.12-0.24],DLG4,Metabolite levels,acylcarnitine measurement,GCST009698,17:7191879
rs1054280-<b>T</b>,2 x 10-10,(C14:1),0.154,'-,0.1799 unit decrease,[0.12-0.24],DVL2,Metabolite levels,acylcarnitine measurement,GCST009698,17:7225408
rs145186303-<b>T</b>,2 x 10-8,(C2),0.9234,'-,0.1675 unit decrease,[0.11-0.22],'-,Metabolite levels,acylcarnitine measurement,GCST009698,4:62672745
rs314251-<b>A</b>,4 x 10-8,(C14:2),0.8506,'-,0.171 unit increase,[0.11-0.23],DLG4,Metabolite levels,acylcarnitine measurement,GCST009698,17:7191879
rs116853509-<b>T</b>,5 x 10-10,(C18-DC:C20-OH),0.0615,'-,0.227 unit increase,[0.15-0.3],"SLCO1B7, SLCO1B3-SLCO1B7",Metabolite levels,acylcarnitine measurement,GCST009698,12:21043034
rs4149056-<b>T</b>,2 x 10-12,(C18-DC:C20-OH),0.8738,'-,0.1689 unit decrease,[0.12-0.22],SLCO1B1,Metabolite levels,acylcarnitine measurement,GCST009698,12:21178615
rs118113038-<b>T</b>,6 x 10-9,(C18:1-DC),0.0496,'-,0.2628 unit increase,[0.17-0.35],SLCO1B3-SLCO1B7,Metabolite levels,acylcarnitine measurement,GCST009698,12:20927742
rs116853509-<b>T</b>,4 x 10-10,(C18:1-DC),0.0614,'-,0.2404 unit increase,[0.16-0.32],"SLCO1B7, SLCO1B3-SLCO1B7",Metabolite levels,acylcarnitine measurement,GCST009698,12:21043034
rs4149056-<b>T</b>,2 x 10-13,(C18:1-DC),0.8737,'-,0.1869 unit decrease,[0.13-0.24],SLCO1B1,Metabolite levels,acylcarnitine measurement,GCST009698,12:21178615
rs174530-<b>A</b>,1 x 10-9,(C20:4),0.3755,'-,0.102 unit increase,[0.069-0.135],"TMEM258, MYRF",Metabolite levels,acylcarnitine measurement,GCST009698,11:61779120
rs149962328-<b>T</b>,2 x 10-8,(C5-OH:C3-DC),0.0093,'-,0.5872 unit increase,[0.41-0.76],"ZNF767P, KRBA1",Metabolite levels,acylcarnitine measurement,GCST009698,7:149686775
rs4767923-<b>T</b>,3 x 10-14,(C4),0.0354,'-,0.371 unit increase,[0.28-0.46],"RPL11P5, CABP1",Metabolite levels,acylcarnitine measurement,GCST009698,12:120635369
rs59063082-<b>T</b>,1 x 10-38,(C4),0.88,'-,0.3598 unit decrease,[0.31-0.41],ACADS,Metabolite levels,acylcarnitine measurement,GCST009698,12:120736171
rs77059132-<b>A</b>,2 x 10-17,(C4),0.9733,'-,0.671 unit decrease,[0.52-0.83],"HNF1A-AS1, RPL12P33",Metabolite levels,acylcarnitine measurement,GCST009698,12:120937681
rs181275126-<b>A</b>,2 x 10-8,(C7-DC),0.0072,'-,0.4397 unit increase,[0.28-0.6],'-,Metabolite levels,acylcarnitine measurement,GCST009698,10:111783826
rs4109437-<b>A</b>,8 x 10-18,,NR,'-,0.0963 unit increase,[0.074-0.118],FRG1-DT,Urinary microalbumin levels,urinary microalbumin measurement,GCST90019514,4:189848068
rs71547482-<b>?</b>,7 x 10-7,,'-,'-,0.092 unit decrease,[NR],'-,"Carbamazepine metabolism (carbamazepine-10,11-diol to carbamazepine ratio) in epilepsy","carbamazepine metabolite measurement, epilepsy",GCST007813,6:103600059
rs11214136-<b>?</b>,1 x 10-6,,'-,'-,0.095 unit decrease,[NR],BCO2,"Carbamazepine metabolism (carbamazepine-10,11-diol to carbamazepine ratio) in epilepsy","carbamazepine metabolite measurement, epilepsy",GCST007813,11:112211286
rs111908689-<b>?</b>,1 x 10-6,,'-,'-,0.11 unit decrease,[NR],"PICALM, SLC25A1P1","Carbamazepine metabolism (carbamazepine-10,11-diol to carbamazepine ratio) in epilepsy","carbamazepine metabolite measurement, epilepsy",GCST007813,11:85938055
rs141640975-<b>A</b>,1 x 10-51,,0.0026,'-,0.424 unit increase,[0.37-0.48],CUBN,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST007718,10:16950012
rs45619139-<b>G</b>,1 x 10-40,,0.1016,'-,0.063 unit increase,[0.053-0.073],CUBN,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST007718,10:16898847
rs45551835-<b>A</b>,4 x 10-62,,0.0144,'-,0.198 unit increase,[0.17-0.22],CUBN,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST007718,10:16890385
rs71431010-<b>A</b>,2 x 10-28,,5.00E-04,'-,0.749 unit increase,[0.62-0.88],"WDPCP, MIR5702",Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST007718,2:226595235
rs185291443-<b>A</b>,7 x 10-26,,9.00E-04,'-,0.539 unit increase,[0.44-0.64],'-,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST007718,2:226120788
rs4410790-<b>C</b>,2 x 10-14,,0.6348,'-,0.023 unit increase,[0.017-0.029],AHR,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST007718,7:17244953
rs34823645-<b>C</b>,3 x 10-18,,7.00E-04,'-,0.53 unit increase,[0.41-0.65],C2orf83,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST007718,2:227647210
rs4109437-<b>A</b>,9 x 10-16,,0.0382,'-,0.06 unit increase,[0.046-0.074],FRG1-DT,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST007718,4:189848068
rs2472297-<b>T</b>,3 x 10-16,,0.2663,'-,0.026 unit increase,[0.02-0.032],"CYP1A2, CYP1A1",Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST007718,15:74735539
rs4665972-<b>C</b>,4 x 10-8,,0.6071,'-,0.016 unit decrease,[0.01-0.022],'-,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST007718,Mapping not available
rs10157710-<b>T</b>,1 x 10-13,,0.8009,'-,0.026 unit increase,[0.018-0.034],"RPL21P24, FOXD2",Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST007718,1:47496019
rs28601761-<b>G</b>,1 x 10-8,,0.4203,'-,0.017 unit decrease,[0.011-0.023],'-,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST007718,Mapping not available
rs4665972-<b>C</b>,2 x 10-7,,0.67,'-,0.078 unit decrease,[0.049-0.107],'-,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST010736,Mapping not available
rs2160387-<b>?</b>,3 x 10-22,"(Ala, Val)",NR,'-,0.17 unit decrease,[0.13-0.21],"LINC02245, SLC1A4",Metabolite levels,metabolite measurement,GCST001391,2:64993776
rs1440581-<b>?</b>,2 x 10-16,(Fischer's ratio),NR,'-,0.13 unit increase,[0.091-0.169],PPM1K-DT,Metabolite levels,metabolite measurement,GCST001391,4:88305270
rs2545801-<b>?</b>,9 x 10-11,(Phe),NR,'-,0.12 unit decrease,[0.081-0.159],GRK6,Metabolite levels,metabolite measurement,GCST001391,5:177414338
rs2297644-<b>?</b>,1 x 10-12,"(Gln, His)",NR,'-,0.15 unit increase,[0.11-0.19],HOGA1,Metabolite levels,metabolite measurement,GCST001391,10:97599982
rs4788815-<b>?</b>,2 x 10-17,"(Phe, Tyr)",NR,'-,0.15 unit increase,[0.11-0.19],"MARVELD3, TAT-AS1",Metabolite levels,metabolite measurement,GCST001391,16:71600908
rs117616209-<b>?</b>,3 x 10-14,(Fischer's ratio),NR,'-,0.51 unit decrease,[0.37-0.65],PHF23,Metabolite levels,metabolite measurement,GCST001391,17:7239532
rs807669-<b>?</b>,3 x 10-16,(Citrate),NR,'-,0.14 unit decrease,[0.1-0.18],"LINC01311, GSC2",Metabolite levels,metabolite measurement,GCST001391,22:19167009
rs1260326-<b>?</b>,3 x 10-18,"(Ala, Gln)",NR,'-,0.15 unit decrease,[0.11-0.19],'-,Metabolite levels,metabolite measurement,GCST001391,Mapping not available
rs560887-<b>?</b>,2 x 10-17,(Glc),NR,'-,0.15 unit increase,[0.11-0.19],"SPC25, G6PC2",Metabolite levels,metabolite measurement,GCST001391,2:168906638
rs4241816-<b>?</b>,6 x 10-13,"(His, Val)",NR,'-,0.12 unit increase,[0.081-0.159],KLKB1,Metabolite levels,metabolite measurement,GCST001391,4:186231173
rs6900341-<b>?</b>,4 x 10-15,"(Ala, Tyr)",NR,'-,0.13 unit increase,[0.091-0.169],REV3L,Metabolite levels,metabolite measurement,GCST001391,6:111473206
rs10830963-<b>?</b>,3 x 10-11,(Glc),NR,'-,0.14 unit increase,[0.1-0.18],MTNR1B,Metabolite levels,metabolite measurement,GCST001391,11:92975544
rs2638315-<b>?</b>,2 x 10-35,"(Gln, Glc)",NR,'-,0.29 unit decrease,[0.25-0.33],"GLS2, SPRYD4",Metabolite levels,metabolite measurement,GCST001391,12:56471272
rs9332998-<b>C</b>,5 x 10-32,(SM-9 + 17 other traits),0.135,'-,0.159 unit decrease,[NR],CYP4A11,Metabolic traits,metabolite measurement,GCST001217,1:46938514
rs2216405-<b>G</b>,2 x 10-27,(glycine + 17 other traits),0.177,'-,0.117 unit increase,[NR],CPS1,Metabolic traits,metabolite measurement,GCST001217,2:210752170
rs2652822-<b>C</b>,7 x 10-27,(succinylcarnitine),0.467,'-,0.085 unit decrease,[NR],"LACTB, RPS27L",Metabolic traits,metabolite measurement,GCST001217,15:63130573
rs662138-<b>G</b>,7 x 10-25,(isobutyrylcarnitine + 3 other traits),0.163,'-,0.155 unit decrease,[NR],SLC22A1,Metabolic traits,metabolite measurement,GCST001217,6:160143444
rs4149081-<b>A</b>,3 x 10-22,(SM-10 + 59 other traits),0.205,'-,0.209 unit decrease,[NR],SLCO1B1,Metabolic traits,metabolite measurement,GCST001217,12:21225087
rs503279-<b>C</b>,4 x 10-20,(SM-11 + 2 other traits),0.464,'-,0.129 unit increase,[NR],FUT2,Metabolic traits,metabolite measurement,GCST001217,19:48705753
rs8396-<b>C</b>,6 x 10-15,(decanoylcarnitine + 25 other traits),0.304,'-,0.098 unit decrease,[NR],"ETFDH, PPID",Metabolic traits,metabolite measurement,GCST001217,4:158709665
rs9393903-<b>A</b>,2 x 10-14,(SM-16 + 7 other traits),0.242,'-,0.06 unit decrease,[NR],ELOVL2,Metabolic traits,metabolite measurement,GCST001217,6:11042676
rs10518693-<b>T</b>,1 x 10-13,(SM-17 + 8 other traits),0.396,'-,0.092 unit increase,[NR],IVD,Metabolic traits,metabolite measurement,GCST001217,15:40407823
rs7760535-<b>G</b>,1 x 10-12,(isoleucine/tyrosine + 10 other traits),0.401,'-,0.035 unit decrease,[NR],"MFSD4B, REV3L",Metabolic traits,metabolite measurement,GCST001217,6:111425880
rs2066938-<b>G</b>,4 x 10-305,(SM-1 + 12 other traits),0.252,'-,0.606 unit increase,[NR],UNC119B,Metabolic traits,metabolite measurement,GCST001217,12:120722812
rs13391552-<b>A</b>,5 x 10-252,(SM-2 + 2 other traits),0.216,'-,0.371 unit decrease,[NR],ALMS1,Metabolic traits,metabolite measurement,GCST001217,2:73591809
rs174547-<b>C</b>,9 x 10-116,(SM-3 + 152 other traits),0.32,'-,0.178 unit decrease,[NR],"FADS1, FADS2",Metabolic traits,metabolite measurement,GCST001217,11:61803311
rs887829-<b>T</b>,3 x 10-74,(SM-4 + 74 other traits),0.337,'-,0.293 unit increase,[NR],"UGT1A10, UGT1A3, UGT1A5, UGT1A6, UGT1A8, UGT1A7, UGT1A9, UGT1A4",Metabolic traits,metabolite measurement,GCST001217,2:233759924
rs211718-<b>T</b>,2 x 10-71,(SM-5 + 17 other traits),0.304,'-,0.16 unit decrease,[NR],"ACADM, SLC44A5",Metabolic traits,metabolite measurement,GCST001217,1:75640990
rs6558295-<b>G</b>,2 x 10-59,(5-oxoproline),0.083,'-,0.121 unit decrease,[NR],GPAA1,Metabolic traits,metabolite measurement,GCST001217,8:144084619
rs603424-<b>A</b>,3 x 10-57,(SM-6 + 94 other traits),0.189,'-,0.124 unit increase,[NR],PKD2L1,Metabolic traits,metabolite measurement,GCST001217,10:100315722
rs780094-<b>T</b>,6 x 10-53,(glucose/mannose + 54 other traits),0.399,'-,0.101 unit increase,[NR],'-,Metabolic traits,metabolite measurement,GCST001217,Mapping not available
rs1495743-<b>G</b>,2 x 10-40,(SM-7 + 11 other traits),0.188,'-,0.256 unit decrease,[NR],NAT2,Metabolic traits,metabolite measurement,GCST001217,8:18415790
rs17277546-<b>A</b>,9 x 10-40,(androsterone sulfate + 2 other traits),0.045,'-,0.476 unit decrease,[NR],TRIM4,Metabolic traits,metabolite measurement,GCST001217,7:99891948
rs612169-<b>G</b>,9 x 10-40,(SM-8 + 3 other traits),0.335,'-,0.202 unit increase,[NR],ABO,Metabolic traits,metabolite measurement,GCST001217,9:133268030
rs4481233-<b>T</b>,6 x 10-34,"(urate, histidine)",0.193,'-,0.074 unit decrease,[NR],SLC2A9,Metabolic traits,metabolite measurement,GCST001217,4:9954455
rs4329-<b>G</b>,8 x 10-20,(aspartylphenylalanine),0.465,'-,0.134 unit decrease,[NR],ACE,Metabolic traits,metabolite measurement,GCST001217,17:63486097
rs477992-<b>A</b>,3 x 10-14,(serine),0.313,'-,0.051 unit decrease,[NR],PHGDH,Metabolic traits,metabolite measurement,GCST001217,1:119714953
rs2087160-<b>G</b>,7 x 10-13,(SM-12 + 1 other trait),0.207,'-,0.124 unit decrease,[NR],ENPEP,Metabolic traits,metabolite measurement,GCST001217,4:110413574
rs2518049-<b>A</b>,7 x 10-13,(SM-13),0.175,'-,0.07 unit decrease,[NR],AKR1C3,Metabolic traits,metabolite measurement,GCST001217,10:5095844
rs494562-<b>G</b>,7 x 10-13,(inosine + 1 other trait),0.106,'-,0.302 unit increase,[NR],"DUTP5, LINC02535",Metabolic traits,metabolite measurement,GCST001217,6:85407411
rs2023634-<b>G</b>,2 x 10-22,(proline + 5 other traits),0.091,'-,0.113 unit increase,[NR],DGCR5,Metabolic traits,metabolite measurement,GCST001217,22:18984937
rs2403254-<b>T</b>,1 x 10-20,(alpha-hydroxyisovalerate + 6 other traits),0.525,'-,0.105 unit decrease,[NR],HPS5,Metabolic traits,metabolite measurement,GCST001217,11:18303599
rs10799701-<b>A</b>,3 x 10-20,(SM-14 + 6 other traits),0.435,'-,0.131 unit decrease,[NR],"NBPF3, ALPL",Metabolic traits,metabolite measurement,GCST001217,1:21494497
rs6499165-<b>A</b>,1 x 10-18,(glutaroyl carnitine/lysine + 3 other traits),0.266,'-,0.11 unit increase,[NR],"SLC7A6OS, SLC7A6",Metabolic traits,metabolite measurement,GCST001217,16:68292297
rs4253252-<b>T</b>,7 x 10-18,"(bradykinin, des-arg(9))",0.492,'-,0.238 unit decrease,[NR],KLKB1,Metabolic traits,metabolite measurement,GCST001217,4:186236304
rs2657879-<b>G</b>,3 x 10-17,(glutamine + 7 other traits),0.187,'-,0.035 unit decrease,[NR],"SPRYD4, GLS2",Metabolic traits,metabolite measurement,GCST001217,12:56471554
rs7200543-<b>G</b>,5 x 10-16,(SM-15 + 12 other traits),0.304,'-,0.073 unit decrease,[NR],PDXDC1,Metabolic traits,metabolite measurement,GCST001217,16:15036113
rs272889-<b>A</b>,7 x 10-16,(isovalerylcarnitine + 7 other traits),0.37,'-,0.084 unit increase,[NR],"SLC22A4, MIR3936HG",Metabolic traits,metabolite measurement,GCST001217,5:132329685
rs12670403-<b>C</b>,5 x 10-15,(caffeine/quinate + 3 other traits),0.487,'-,0.294 unit increase,[NR],AHR,Metabolic traits,metabolite measurement,GCST001217,7:17269655
rs7094971-<b>G</b>,3 x 10-14,(carnitine),0.147,'-,0.049 unit decrease,[NR],SLC16A9,Metabolic traits,metabolite measurement,GCST001217,10:59689806
rs10205592-<b>C</b>,1 x 10-7,,0.56,'-,0.075 unit decrease,[0.048-0.102],GTF3C2,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST010736,2:27346004
rs13021399-<b>T</b>,1 x 10-7,,0.56,'-,0.081 unit decrease,[0.052-0.11],"SULT1C4, SMIM12P1",Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST010736,2:108390209
rs3827760-<b>G</b>,2 x 10-7,,0.29,'-,0.097 unit increase,[0.06-0.134],EDAR,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST010736,2:108897145
rs919942-<b>A</b>,8 x 10-7,,0.63,'-,0.071 unit increase,[0.044-0.098],"SOWAHC, BMS1P19",Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST010736,2:109624640
rs116907128-<b>A</b>,4 x 10-8,,0.14,'-,0.12 unit increase,[0.077-0.163],"MIR4435-2HG, BCL2L11",Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST010736,2:111121122
rs540878340-<b>A</b>,2 x 10-7,,0.002,'-,0.914 unit increase,[0.57-1.26],RNU6-675P,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST010736,2:126714672
rs334-<b>A</b>,8 x 10-11,,0.01,'-,0.53 unit increase,[0.37-0.69],HBB,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST010736,11:5227002
rs7103465-<b>A</b>,4 x 10-7,,0.03,'-,0.248 unit increase,[0.15-0.34],PDGFD,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST010736,11:103974051
rs527493184-<b>A</b>,1 x 10-8,,0.002,'-,1.029 unit increase,[0.68-1.38],ZBTB16,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST010736,11:114155245
rs11117207-<b>C</b>,4 x 10-7,,0.08,'-,0.128 unit decrease,[0.079-0.177],LINC02188,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST010736,16:86734887
rs115573116-<b>T</b>,2 x 10-7,,0.002,'-,0.756 unit increase,[0.47-1.04],ISCA1P3,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST010736,17:54416610
rs1032642268-<b>A</b>,7 x 10-7,,0.002,'-,0.873 unit increase,[0.53-1.22],XKR3,Urinary albumin-to-creatinine ratio,urinary albumin to creatinine ratio,GCST010736,22:16823805
rs61754122-<b>?</b>,9 x 10-16,,1.93E-04,'-,'-,'-,BCAS1,Creatinine levels,creatinine measurement,GCST007919,20:54028628
rs148240484-<b>?</b>,2 x 10-16,,9.66E-05,'-,'-,'-,DPEP1,Creatinine levels,creatinine measurement,GCST007919,16:89637333
rs201874364-<b>?</b>,2 x 10-16,,9.66E-05,'-,'-,'-,ETV5,Creatinine levels,creatinine measurement,GCST007919,3:186065822
rs11554266-<b>?</b>,2 x 10-16,,3.86E-04,'-,'-,'-,GNAS,Creatinine levels,creatinine measurement,GCST007919,20:58903791
rs143193096-<b>?</b>,2 x 10-16,,9.66E-05,'-,'-,'-,IGF1R,Creatinine levels,creatinine measurement,GCST007919,15:98916098
rs143709408-<b>?</b>,2 x 10-16,,9.66E-05,'-,'-,'-,KCNQ1,Creatinine levels,creatinine measurement,GCST007919,11:2527999
rs149437411-<b>?</b>,2 x 10-16,,9.66E-05,'-,'-,'-,LPP,Creatinine levels,creatinine measurement,GCST007919,3:188609231
rs202007714-<b>?</b>,2 x 10-16,,9.66E-05,'-,'-,'-,"SLC25A26, LRIG1",Creatinine levels,creatinine measurement,GCST007919,3:66383098
rs142093111-<b>?</b>,2 x 10-16,,9.66E-05,'-,'-,'-,LRP2,Creatinine levels,creatinine measurement,GCST007919,2:169188258
rs200933617-<b>?</b>,2 x 10-16,,9.66E-05,'-,'-,'-,NFAT5,Creatinine levels,creatinine measurement,GCST007919,16:69647162
rs141310123-<b>?</b>,2 x 10-16,,9.66E-05,'-,'-,'-,NFATC1,Creatinine levels,creatinine measurement,GCST007919,18:79411390
rs151134704-<b>?</b>,2 x 10-16,,9.66E-05,'-,'-,'-,NFKB1,Creatinine levels,creatinine measurement,GCST007919,4:102616435
rs186459505-<b>?</b>,2 x 10-16,,1.93E-04,'-,'-,'-,SFMBT1,Creatinine levels,creatinine measurement,GCST007919,3:52907083
rs201178535-<b>?</b>,2 x 10-16,,1.93E-04,'-,'-,'-,SIPA1L3,Creatinine levels,creatinine measurement,GCST007919,19:38101163
rs149454410-<b>?</b>,2 x 10-16,,9.66E-05,'-,'-,'-,SLC2A9,Creatinine levels,creatinine measurement,GCST007919,4:9942000
rs151305324-<b>?</b>,1 x 10-10,,9.66E-05,'-,'-,'-,TMEM171,Creatinine levels,creatinine measurement,GCST007919,5:73123606
rs188709583-<b>?</b>,2 x 10-16,,9.66E-05,'-,'-,'-,UMOD,Creatinine levels,creatinine measurement,GCST007919,16:20337383
rs138551969-<b>?</b>,2 x 10-16,,1.93E-04,'-,'-,'-,VEGFA,Creatinine levels,creatinine measurement,GCST007919,6:43780749
rs35258188-<b>?</b>,2 x 10-16,,9.66E-05,'-,'-,'-,WDR72,Creatinine levels,creatinine measurement,GCST007919,15:53705141
rs199592697-<b>?</b>,3 x 10-13,,9.66E-05,'-,'-,'-,WNT7A,Creatinine levels,creatinine measurement,GCST007919,3:13854632
rs11543349-<b>C</b>,3 x 10-8,,0.345,'-,0.01 umol/L increase,[0.0041-0.0159],OGFR,Creatinine levels,creatinine measurement,GCST007919,20:62813587
rs35976024-<b>A</b>,5 x 10-8,(total homocysteine),0.32,'-,0.1 unit decrease,[0.061-0.139],ATOH8,Blood metabolite levels,"blood metabolite measurement, homocysteine measurement",GCST009318,2:85776848
rs28391580-<b>T</b>,3 x 10-8,(cystathionine),0.27,'-,0.24 unit decrease,[0.16-0.32],'-,Blood metabolite levels,"cystathionine measurement, blood metabolite measurement",GCST009318,15:37741755
rs139435405-<b>C</b>,2 x 10-8,(S-adenosylhomocysteine),0.75,'-,0.23 unit increase,[0.15-0.31],"RN7SKP21, PTCSC3",Blood metabolite levels,"S-adenosylhomocysteine measurement, blood metabolite measurement",GCST009318,14:36186245
rs12665366-<b>G</b>,2 x 10-8,(multi-metabolite PC1),0.12,'-,0.35 unit decrease,[0.23-0.47],EXOC2,Blood metabolite levels,blood metabolite measurement,GCST009318,6:541907
rs780094-<b>?</b>,7 x 10-10,(XL_VLDL_FC),NR,'-,0.07972465 unit increase,NR,'-,Serum metabolite levels (CMS),serum metabolite measurement,GCST009240,Mapping not available
rs1260326-<b>?</b>,5 x 10-12,(TotFA),NR,'-,0.068720095 unit increase,NR,'-,Serum metabolite levels (CMS),serum metabolite measurement,GCST009240,Mapping not available
rs1260326-<b>?</b>,5 x 10-13,(MUFA),NR,'-,0.0800872 unit increase,NR,'-,Serum metabolite levels (CMS),serum metabolite measurement,GCST009240,Mapping not available
rs4775041-<b>?</b>,7 x 10-18,(TotCho),NR,'-,0.10368546 unit increase,NR,ALDH1A2,Serum metabolite levels,serum metabolite measurement,GCST009242,15:58382496
rs2266788-<b>?</b>,3 x 10-17,(M_VLDL_PL),NR,'-,0.10549666 unit increase,NR,APOA5,Serum metabolite levels,serum metabolite measurement,GCST009242,11:116789970
